index,time,longitude,latitude,magnitude,x,y
101,2008-01-01 20:53:44.670,-115.6484,33.2256,1.1,48.64082663321773,6.3586015758333865
143,2008-01-02 05:21:53.374,-115.439,32.77835,1.37,-1.0590837962973876,25.96752864149194
154,2008-01-02 07:45:43.922,-115.84567,32.67481,1.77,-12.598946240682876,-12.065824116962
253,2008-01-03 06:47:45.339,-115.57938,33.19932,1.32,45.724891218995445,12.782499068698996
310,2008-01-03 13:03:01.584,-115.50113,32.75467,1.04,-3.7057207711783557,20.164406344390073
364,2008-01-04 01:57:05.501,-115.84277,32.67445,1.34,-12.639303072838317,-11.794437133897846
377,2008-01-04 04:23:11.814,-115.50235,32.75557,1.12,-3.605877163779595,20.050116362134542
414,2008-01-04 11:06:19.729,-115.90339,32.98261,2.41,21.63488947743567,-17.407888738648712
467,2008-01-04 18:56:54.587,-115.59436,33.18339,1.49,43.95183880159828,11.390743144247963
470,2008-01-04 18:58:16.959,-115.59449,33.18356,1.09,43.97072789804081,11.378623048222538
472,2008-01-04 19:08:32.917,-115.59474,33.18376,1.09,43.99293992542577,11.355331695238377
473,2008-01-04 19:08:48.296,-115.59361,33.18376,1.08,43.99306220039587,11.460491615814306
596,2008-01-05 20:05:53.660,-115.94572,33.04417,1.92,28.487813966002044,-21.34131582281897
599,2008-01-05 20:50:34.198,-115.51547,32.87265,1.86,9.41041066275838,18.79844288697224
611,2008-01-05 23:29:31.346,-115.51539,32.87265,1.04,9.410424890375525,18.80591409918457
632,2008-01-06 03:15:47.078,-115.51546,32.87268,1.39,9.413748287434252,18.799370431929724
633,2008-01-06 03:20:33.828,-115.51585,32.87263,1.58,9.408119260744517,18.762958857622554
639,2008-01-06 04:04:26.170,-115.5985,33.17867,1.03,43.42655907681324,11.006056138570125
700,2008-01-06 16:13:38.923,-115.57279,33.05103,1.41,29.236617027633407,13.418242003162511
706,2008-01-06 17:43:34.870,-115.53558,32.9515,1.07,18.174730893683233,16.905318877809716
789,2008-01-07 07:58:17.620,-115.54659,33.00987,1.25,24.663468789550905,15.867531956080702
876,2008-01-08 04:19:17.970,-115.64546,33.15023,1.61,40.26024661668559,6.637761841953153
1106,2008-01-10 05:27:38.343,-115.72897,32.61559,1.21,-19.191186938673685,-1.1436760761876323
1380,2008-01-11 17:51:15.970,-115.54412,33.04198,1.1,28.23431077761758,16.091997566601318
1381,2008-01-11 18:07:18.670,-115.56829,33.02877,1.09,26.76199946294718,13.841140943300568
1386,2008-01-11 19:08:34.390,-115.56896,33.02395,1.11,26.225952381890135,13.779431663404067
1390,2008-01-11 19:30:05.410,-115.62671,33.17137,1.67,42.61224253546118,8.381323822541546
1418,2008-01-11 23:44:07.506,-115.73081,32.61697,1.26,-19.03771658500737,-1.3159906559285026
1476,2008-01-12 08:00:48.992,-115.46048,32.81427,1.0,2.9299680265171326,23.94970450779816
1488,2008-01-12 08:39:03.910,-115.46035,32.81412,1.09,2.9133182387531913,23.9618936389558
1489,2008-01-12 08:48:40.897,-115.45937,32.81287,2.26,2.774547086315827,24.053814517521705
1496,2008-01-12 08:57:18.605,-115.46056,32.81476,1.31,2.984435398563967,23.942096392034003
1505,2008-01-12 09:37:38.800,-115.45731,32.8092,1.28,2.366932261164047,24.247328681411503
1517,2008-01-12 10:10:50.172,-115.45731,32.8091,1.37,2.35581277511333,24.247355959130243
1519,2008-01-12 10:11:57.583,-115.4571,32.80849,1.01,2.2880320657297366,24.26714843390563
1521,2008-01-12 10:17:43.605,-115.46072,32.81469,1.24,2.9766155542603037,23.92716308492294
1524,2008-01-12 10:34:46.931,-115.45651,32.80926,1.31,2.3737876109070353,24.322077695293007
1525,2008-01-12 10:38:24.580,-115.45721,32.80912,1.2,2.3580595986377095,24.256696190596177
1528,2008-01-12 10:53:54.000,-115.45918,32.81453,1.88,2.959173777929747,24.07112099410653
1536,2008-01-12 11:06:08.582,-115.45941,32.81314,1.0,2.804560603773485,24.050003341670166
1573,2008-01-12 13:38:14.051,-115.46005,32.81387,1.95,2.885587522303248,23.989996605368013
1588,2008-01-12 14:45:46.932,-115.46076,32.81471,1.53,2.9788304040461644,23.923419660303193
1596,2008-01-12 16:17:29.061,-115.46075,32.8147,1.79,2.9777207171492974,23.92435686217571
1640,2008-01-13 00:59:18.601,-115.45902,32.8126,1.83,2.744604116942754,24.086596213609482
1654,2008-01-13 03:00:16.083,-115.72897,32.61559,2.37,-19.191186938673685,-1.1436760761876323
1657,2008-01-13 03:10:38.090,-115.45928,32.8126,1.51,2.7445449430289615,24.062298376637926
1682,2008-01-13 04:30:59.317,-115.45763,32.80998,1.01,2.4535909476363886,24.217210004058366
1699,2008-01-13 05:51:56.379,-115.46099,32.81546,1.41,3.0621745555100963,23.90172422787013
1763,2008-01-13 16:17:49.662,-115.45975,32.81223,1.25,2.7032960275347473,24.01847534752437
2031,2008-01-15 14:24:41.010,-115.59284,33.0496,1.27,29.07523694189015,11.549725238762814
2064,2008-01-15 23:41:44.124,-115.87828,32.96938,2.1,20.159920708222185,-15.068023489830601
2078,2008-01-16 02:41:51.271,-115.56333,32.97758,1.02,21.070593533793794,14.311826648042755
2100,2008-01-16 06:57:55.088,-115.43464,32.76542,1.38,-2.495754798265098,26.378974011047998
2116,2008-01-16 08:26:49.377,-115.43547,32.76601,1.72,-2.4303564284105583,26.30119237993784
2158,2008-01-16 16:27:43.700,-115.6163,32.5403,1.83,-27.558658192773848,9.416943970902745
2176,2008-01-16 22:10:01.708,-115.4471,32.79627,1.56,0.9315691584903074,25.205187752475766
2185,2008-01-17 01:07:58.751,-115.56268,33.01987,1.29,25.77311422459875,14.365584287993453
2268,2008-01-17 20:42:44.810,-115.85616,32.6955,1.47,-10.29707990496015,-13.044642804866772
2286,2008-01-18 00:34:53.880,-115.16119,32.99793,1.84,23.459304411049455,51.811195168198296
2361,2008-01-18 09:08:04.113,-115.42132,32.73247,2.51,-6.1562261552694775,27.634654043896198
2363,2008-01-18 09:08:59.250,-115.42177,32.7332,1.9,-6.0751713078357,27.592336157403672
2375,2008-01-18 09:51:08.960,-115.4043,32.71741,1.26,-7.826249101065655,29.231598722715365
2376,2008-01-18 09:52:28.627,-115.42081,32.73204,2.7,-6.203906681756064,27.682491687018434
