index,time,longitude,latitude,magnitude,x,y,time_days
101,2008-01-01 20:53:44.670,-115.6484,33.2256,1.1,48.85296367909833,6.215197751819592,13879.870655902778
143,2008-01-02 05:21:53.374,-115.439,32.77835,1.37,-1.0590837962973876,25.96752864149194,13880.223534421297
154,2008-01-02 07:45:43.922,-115.84567,32.67481,1.77,-12.598946240682876,-12.065824116962,13880.323425023147
253,2008-01-03 06:47:45.339,-115.57938,33.19932,1.32,45.724891218995445,12.782499068698996,13881.283163645834
310,2008-01-03 13:03:01.584,-115.50113,32.75467,1.04,-3.705720771178356,20.164406344390077,13881.543768333335
364,2008-01-04 01:57:05.501,-115.84277,32.67445,1.34,-12.639303072838317,-11.794437133897846,13882.081313668981
377,2008-01-04 04:23:11.814,-115.50235,32.75557,1.12,-3.605877163779595,20.050116362134546,13882.182775625002
414,2008-01-04 11:06:19.729,-115.90339,32.98261,2.41,21.63488947743567,-17.407888738648712,13882.462728344906
467,2008-01-04 18:56:54.587,-115.59436,33.18339,1.49,43.95183880159828,11.390743144247963,13882.789520682873
470,2008-01-04 18:58:16.959,-115.59449,33.18356,1.09,43.97072789804081,11.378623048222538,13882.790474062502
472,2008-01-04 19:08:32.917,-115.59474,33.18376,1.09,43.99293992542577,11.355331695238377,13882.797603206016
473,2008-01-04 19:08:48.296,-115.59361,33.18376,1.08,43.99306220039587,11.460491615814306,13882.797781203704
596,2008-01-05 20:05:53.660,-115.94572,33.04417,1.92,28.487813966002044,-21.34131582281897,13883.837426620372
599,2008-01-05 20:50:34.198,-115.51547,32.87265,1.86,9.41041066275838,18.79844288697224,13883.868451365743
611,2008-01-05 23:29:31.346,-115.51539,32.87265,1.04,9.410424890375523,18.80591409918457,13883.978835023148
632,2008-01-06 03:15:47.078,-115.51546,32.87268,1.39,9.413748287434252,18.799370431929724,13884.135961550926
633,2008-01-06 03:20:33.828,-115.51585,32.87263,1.58,9.408119260744517,18.762958857622557,13884.139280416668
639,2008-01-06 04:04:26.170,-115.5985,33.17867,1.03,43.42655907681324,11.006056138570123,13884.16974733796
700,2008-01-06 16:13:38.923,-115.57279,33.05103,1.41,29.236617027633407,13.418242003162511,13884.67614494213
706,2008-01-06 17:43:34.870,-115.53558,32.9515,1.07,17.929212225301498,16.41821634759924,13884.738598032409
789,2008-01-07 07:58:17.620,-115.54659,33.00987,1.25,24.663468789550905,15.867531956080702,13885.332148379628
876,2008-01-08 04:19:17.970,-115.64546,33.15023,1.61,40.26024661668559,6.637761841953153,13886.18006909722
1106,2008-01-10 05:27:38.343,-115.72897,32.61559,1.21,-19.150887531912186,-0.7925253407616506,13888.227527118057
1380,2008-01-11 17:51:15.970,-115.54412,33.04198,1.1,28.23431077761758,16.091997566601318,13889.743934837961
1381,2008-01-11 18:07:18.670,-115.56829,33.02877,1.09,26.76199946294718,13.841140943300568,13889.755077199075
1386,2008-01-11 19:08:34.390,-115.56896,33.02395,1.11,26.22595238189013,13.779431663404068,13889.79762025463
1390,2008-01-11 19:30:05.410,-115.62671,33.17137,1.67,42.61224253546118,8.381323822541546,13889.81256261574
1418,2008-01-11 23:44:07.506,-115.73081,32.61697,1.26,-19.03771658500737,-1.3159906559285026,13889.988975763887
1476,2008-01-12 08:00:48.992,-115.46048,32.81427,1.0,2.9299680265171326,23.94970450779816,13890.333900370371
1488,2008-01-12 08:39:03.910,-115.46035,32.81412,1.09,2.9133182387531917,23.9618936389558,13890.360461921297
1489,2008-01-12 08:48:40.897,-115.45937,32.81287,2.26,2.774547086315827,24.053814517521705,13890.367140011573
1496,2008-01-12 08:57:18.605,-115.46056,32.81476,1.31,2.984435398563967,23.942096392034003,13890.373132002314
1505,2008-01-12 09:37:38.800,-115.45731,32.8092,1.28,2.366932261164047,24.247328681411503,13890.401143518518
1517,2008-01-12 10:10:50.172,-115.45731,32.8091,1.37,2.35581277511333,24.247355959130243,13890.424191805554
1519,2008-01-12 10:11:57.583,-115.4571,32.80849,1.01,2.2880320657297366,24.26714843390563,13890.424972025465
1521,2008-01-12 10:17:43.605,-115.46072,32.81469,1.24,2.976615554260304,23.92716308492294,13890.428976909723
1524,2008-01-12 10:34:46.931,-115.45651,32.80926,1.31,2.3737876109070357,24.322077695293007,13890.440820960648
1525,2008-01-12 10:38:24.580,-115.45721,32.80912,1.2,2.358059598637709,24.256696190596177,13890.443340046295
1528,2008-01-12 10:53:54.000,-115.45918,32.81453,1.88,2.959173777929747,24.07112099410653,13890.454097222222
1536,2008-01-12 11:06:08.582,-115.45941,32.81314,1.0,2.804560603773485,24.05000334167017,13890.462599328705
1573,2008-01-12 13:38:14.051,-115.46005,32.81387,1.95,2.885587522303248,23.989996605368013,13890.568218182872
1588,2008-01-12 14:45:46.932,-115.46076,32.81471,1.53,2.9788304040461644,23.923419660303196,13890.615126527777
1596,2008-01-12 16:17:29.061,-115.46075,32.8147,1.79,2.977720717149297,23.92435686217571,13890.678808576387
1640,2008-01-13 00:59:18.601,-115.45902,32.8126,1.83,2.744604116942754,24.08659621360948,13891.041187511571
1654,2008-01-13 03:00:16.083,-115.72897,32.61559,2.37,-18.733555292401096,-1.0779311255743431,13891.125186145835
1657,2008-01-13 03:10:38.090,-115.45928,32.8126,1.51,2.744544943028961,24.062298376637926,13891.132385300925
1682,2008-01-13 04:30:59.317,-115.45763,32.80998,1.01,2.4535909476363886,24.21721000405837,13891.188186539352
1699,2008-01-13 05:51:56.379,-115.46099,32.81546,1.41,3.0621745555100963,23.90172422787013,13891.244402534721
1763,2008-01-13 16:17:49.662,-115.45975,32.81223,1.25,2.7032960275347477,24.01847534752437,13891.679047013891
2031,2008-01-15 14:24:41.010,-115.59284,33.0496,1.27,29.07523694189015,11.549725238762814,13893.600474652778
2064,2008-01-15 23:41:44.124,-115.87828,32.96938,2.1,20.159920708222185,-15.0680234898306,13893.98731625
2078,2008-01-16 02:41:51.271,-115.56333,32.97758,1.02,21.070593533793797,14.311826648042755,13894.11239896991
2100,2008-01-16 06:57:55.088,-115.43464,32.76542,1.38,-2.495754798265098,26.378974011048,13894.290220925926
2116,2008-01-16 08:26:49.377,-115.43547,32.76601,1.72,-2.4303564284105583,26.30119237993784,13894.351960381942
2158,2008-01-16 16:27:43.700,-115.6163,32.5403,1.83,-27.558658192773848,9.416943970902745,13894.685922453704
2176,2008-01-16 22:10:01.708,-115.4471,32.79627,1.56,0.9315691584903074,25.20518775247577,13894.92363087963
2185,2008-01-17 01:07:58.751,-115.56268,33.01987,1.29,25.77311422459875,14.365584287993451,13895.047207766205
2268,2008-01-17 20:42:44.810,-115.85616,32.6955,1.47,-10.29707990496015,-13.044642804866772,13895.863018634258
2286,2008-01-18 00:34:53.880,-115.16119,32.99793,1.84,23.45930441104945,51.811195168198296,13896.024234722223
2361,2008-01-18 09:08:04.113,-115.42132,32.73247,2.51,-6.1562261552694775,27.6346540438962,13896.380603159721
2363,2008-01-18 09:08:59.250,-115.42177,32.7332,1.9,-6.0751713078357,27.592336157403672,13896.381241319441
2375,2008-01-18 09:51:08.960,-115.4043,32.71741,1.26,-7.826249101065655,29.231598722715365,13896.410520370371
2376,2008-01-18 09:52:28.627,-115.42081,32.73204,2.7,-6.203906681756064,27.682491687018437,13896.411442442131
2377,2008-01-18 09:53:06.707,-115.4043,32.71768,1.26,-7.796226496280498,29.231510171967205,13896.411883182871
2378,2008-01-18 09:53:26.630,-115.40452,32.71817,1.24,-7.741801750770716,29.21076796362238,13896.412113773149
2379,2008-01-18 09:54:05.639,-115.40447,32.71785,1.96,-7.777370300419691,29.215550471016066,13896.412565266206
2380,2008-01-18 09:54:10.870,-115.40452,32.71785,1.82,-7.777384097221397,29.210872839638878,13896.412625810186
2381,2008-01-18 09:54:37.966,-115.40391,32.71672,1.04,-7.902865785704638,29.268311003664635,13896.412939421298
2388,2008-01-18 10:00:42.011,-115.42731,32.75306,1.23,-3.868272184450883,27.068107065693624,13896.417152905095
2474,2008-01-19 04:12:21.390,-115.61042,33.18246,1.27,43.846806170990895,9.89626766321426,13897.175247569445
2487,2008-01-19 05:38:02.959,-115.63106,32.5674,1.88,-24.54649034527409,8.030924959056355,13897.234756469908
2491,2008-01-19 05:54:17.111,-115.62275,32.84489,1.09,6.309647522185832,8.78228539753287,13897.246031377315
2589,2008-01-20 04:37:54.280,-115.54496,32.56589,1.33,-24.704595822617712,16.09968470366822,13898.192989351852
2691,2008-01-20 19:53:31.186,-115.72749,32.60989,1.73,-19.825013024717208,-1.005122957588935,13898.828833171296
2710,2008-01-21 00:14:06.440,-115.64302,33.13391,1.07,38.44570171364773,6.86619233305589,13899.00979675926
2716,2008-01-21 01:15:10.620,-115.64255,33.13879,1.09,38.98836362162927,6.909573231460345,13899.052206249999
2724,2008-01-21 01:33:57.125,-115.64296,33.13355,1.67,38.40567544945854,6.871807308536764,13899.065244502315
2747,2008-01-21 03:29:27.730,-115.64308,33.13396,1.3,38.45125755527173,6.860601557648408,13899.14545983796
2755,2008-01-21 04:39:52.257,-115.59012,32.83004,1.17,4.661583274427865,11.83254136406356,13899.194354826388
2770,2008-01-21 07:14:34.690,-115.66641,32.82147,2.29,3.702678463630061,4.704829742267075,13899.301790393516
2810,2008-01-21 15:54:59.301,-115.57032,33.03067,1.51,26.973005458667203,13.651599134857747,13899.663186354166
2932,2008-01-22 14:05:23.060,-115.62696,33.23978,1.22,50.21906704174433,8.351550140899944,13900.587072453704
2948,2008-01-22 19:09:28.816,-115.56892,33.19126,1.0,44.82997699790074,13.75701528817396,13900.798250185186
3005,2008-01-23 05:19:46.979,-115.6081,33.08114,1.33,32.58075759587923,10.12381670500458,13901.222071516204
3019,2008-01-23 07:16:33.710,-115.5911,33.06803,1.07,31.12475087031233,11.709453863351364,13901.303167939815
3083,2008-01-23 18:15:56.600,-115.62462,33.15708,2.44,41.02343522422994,8.577243782792806,13901.761071759258
3089,2008-01-23 20:11:30.218,-115.93452,32.68334,1.07,-11.636843451861427,-20.38006380434579,13901.841321967591
3092,2008-01-23 20:46:07.930,-115.62496,33.15708,2.17,41.02340762014862,8.54559313600762,13901.865369560182
3097,2008-01-23 21:43:08.540,-115.62805,33.15438,1.44,40.72293514631724,8.25819799975203,13901.904959953703
3115,2008-01-24 01:01:37.773,-115.93416,32.68412,3.44,-11.550180666105534,-20.34619386810728,13902.042798298611
3118,2008-01-24 01:25:53.386,-115.93505,32.6829,1.21,-11.671205753671828,-20.844710365508035,13902.059645671296
3121,2008-01-24 01:34:32.804,-115.93431,32.68483,1.41,-11.47120347194827,-20.360070072992222,13902.065657453702
3128,2008-01-24 02:18:28.776,-115.93505,32.6829,1.54,-11.636794279869122,-20.549787672031883,13902.096166388888
3233,2008-01-24 15:47:47.907,-115.63013,32.56819,1.36,-24.458575525994885,8.118004276095949,13902.658193368055
3297,2008-01-25 03:00:57.962,-115.44135,32.77078,1.53,-1.9014031115932464,25.750019643565665,13903.12567085648
3299,2008-01-25 03:02:06.154,-115.44026,32.76941,1.79,-2.0534742931922736,25.852329498257788,13903.126460115738
3349,2008-01-25 11:56:20.212,-115.63983,33.15537,1.06,40.83215686452053,7.16148187984198,13903.497456157405
3361,2008-01-25 13:34:44.208,-115.62927,32.56931,1.0,-24.333971034290983,8.198492196883777,13903.565789444443
3400,2008-01-25 21:16:07.366,-115.72028,32.60622,1.68,-20.23314381690795,-0.3298028959109295,13903.886196365744
3453,2008-01-26 10:27:23.909,-115.84611,32.67599,1.53,-12.360550752984114,-12.218120856549008,13904.435693391202
3460,2008-01-26 12:11:07.749,-115.84611,32.67599,1.59,-12.727386910417325,-12.511881929197179,13904.507728576387
3473,2008-01-26 14:07:42.842,-115.46248,32.80554,1.32,1.773704249913961,23.36178031898752,13904.588690300923
3494,2008-01-26 19:07:48.890,-115.81664,32.60041,1.93,-20.87478291455162,-9.356458823466667,13904.797093634257
3505,2008-01-26 22:01:48.289,-115.81695,32.60022,1.41,-20.895882538606458,-9.385518362328671,13904.917920011574
3517,2008-01-27 00:58:36.886,-115.81627,32.59793,1.6,-21.15057891377724,-9.322057134694964,13905.040704699077
3535,2008-01-27 03:51:56.906,-115.72028,32.60617,1.35,-20.238703563088784,-0.3298030803175248,13905.161075300924
3645,2008-01-28 12:54:40.507,-115.55396,32.97561,1.25,20.85284799117885,15.186195344514372,13906.537968831019
3663,2008-01-28 17:07:43.251,-115.59126,33.18086,1.71,43.67085485909313,11.679572241185848,13906.713695034725
3667,2008-01-28 17:09:12.670,-115.59086,33.18283,1.27,43.566850165995355,12.203871861390962,13906.714729976853
3704,2008-01-29 05:08:24.280,-115.60336,32.81222,1.31,2.678686069626608,10.5975857214545,13907.214169907407
3712,2008-01-29 06:27:12.946,-115.84558,32.67516,1.43,-12.560038271623164,-12.057352997623031,13907.268899837962
3740,2008-01-29 09:32:34.508,-115.83924,32.67439,1.46,-12.646362367576916,-11.464042117250608,13907.39762162037
3756,2008-01-29 11:01:30.160,-115.9728,32.8124,1.41,2.7219797262021417,-23.92794757918447,13907.459376851853
3815,2008-01-29 20:28:11.805,-115.81641,32.5987,1.31,-21.064946504891434,-9.335091791244936,13907.852914409721
3829,2008-01-30 02:22:16.934,-115.84681,32.67611,1.23,-12.45426240911708,-12.172348655289206,13908.098807106482
3865,2008-01-30 13:22:24.083,-115.54019,32.98907,1.21,22.351594809230534,16.46817825185054,13908.557223182872
3870,2008-01-30 16:13:16.503,-115.94203,32.72315,2.26,-7.2087052084502865,-21.07350684905138,13908.675885451388
3891,2008-01-30 20:20:29.249,-115.93506,32.68546,1.03,-11.401006256962468,-20.430116416111264,13908.847560752312
3916,2008-01-31 03:03:46.710,-115.65799,33.14622,1.0,39.81363560692133,5.471500681390152,13909.127623958333
3999,2008-02-01 02:46:35.825,-115.65093,33.24054,1.38,50.30192894309712,6.122225085801335,13910.115692418982
4096,2008-02-01 21:42:14.320,-115.93473,32.68523,1.02,-11.426644694383375,-20.3992853551608,13910.904332407406
4252,2008-02-03 08:33:37.095,-115.50117,32.75461,1.56,-3.71240008447313,20.16067936358308,13912.356679340279
4508,2008-02-05 14:48:02.214,-115.79027,32.51888,1.26,-29.94252558386768,-6.892491813195388,13914.61669229167
4509,2008-02-05 14:48:15.064,-115.78995,32.51825,2.15,-30.012599135063585,-6.862536363748058,13914.616841018516
4510,2008-02-05 14:49:15.670,-115.79105,32.51935,1.04,-29.946109455636698,-6.933717483417588,13914.617542476853
4528,2008-02-05 18:19:33.420,-115.79042,32.51894,1.28,-29.93584413083204,-6.906551412994939,13914.763581250001
4563,2008-02-05 23:26:16.083,-115.84118,32.67621,1.32,-12.443775975731386,-11.645385839546927,13914.976575034725
4565,2008-02-05 23:49:19.181,-115.79005,32.51853,1.5,-29.981458081995346,-6.871891115406592,13914.992583113426
4567,2008-02-06 00:18:08.702,-115.79116,32.522,1.47,-29.59553924075894,-6.975696748862113,13915.012600717595
4581,2008-02-06 02:29:35.390,-115.79105,32.51935,1.03,-29.516594483806102,-6.470020349431917,13915.103881828705
4583,2008-02-06 02:40:23.848,-115.79271,32.52302,1.18,-29.4820174115434,-7.1209409567368,13915.111387129631
4632,2008-02-06 09:11:57.257,-115.79352,32.52302,1.59,-29.481962735699916,-7.196884247228271,13915.383301585647
4794,2008-02-07 10:09:10.048,-115.65533,32.66892,1.32,-13.176845505779998,6.062505778857116,13916.423032962964
4841,2008-02-07 17:08:04.218,-115.65533,32.66892,1.57,-13.432618930788005,5.555775915260235,13916.713937708333
4904,2008-02-08 08:37:46.794,-115.78993,32.51823,1.22,-30.01482432722789,-6.860662651420666,13917.359569375
5013,2008-02-09 04:27:24.762,-115.6702,32.66496,1.44,-13.79789769536354,4.530835775159836,13918.185703263887
5056,2008-02-09 09:23:32.762,-115.6702,32.66496,1.61,-13.518409727103002,4.173567947135637,13918.391351412036
5074,2008-02-09 10:14:07.441,-115.67028,32.66529,1.07,-13.66391037988223,4.350823747338358,13918.426475011574
