index,time,longitude,latitude,magnitude,x,y,time_days
648184,1981-01-01 01:49:29.230,-118.832,33.724,2.27,-46.48539813074429,-167.51856901801426,4018.07603275463
648185,1981-01-01 04:13:55.640,-115.967,33.249,2.26,-100.28249814354209,97.97701165904996,4018.1763384259257
648186,1981-01-01 05:20:14.670,-117.31,34.18,2.37,2.775896595009177,-26.62313656516077,4018.222392013889
648190,1981-01-01 15:05:24.760,-118.537,35.316,2.16,130.08807209975947,-137.5923648913086,4018.628758796296
648199,1981-01-02 15:03:09.420,-118.281,36.043,3.13,210.60556856356348,-113.34095083397544,4019.627192361111
648201,1981-01-02 16:45:32.810,-118.308,36.051,2.59,211.525904122666,-115.75716173158382,4019.698296412037
648204,1981-01-02 20:08:40.890,-117.693,35.041,2.1,98.63207023528238,-61.70968882513846,4019.8393621527775
648206,1981-01-02 23:46:23.920,-118.068,36.15,2.03,222.28311966697308,-94.06186610411493,4019.99055462963
648207,1981-01-03 00:21:11.520,-115.25,32.417,2.17,-191.58544515022118,166.00244536055095,4020.0147166666666
648209,1981-01-03 01:05:31.450,-115.25,32.417,2.18,-192.36808834411073,166.5223650790548,4020.0455028935185
648213,1981-01-03 13:34:45.550,-120.38,34.581,2.64,52.40849094347653,-307.49967233031225,4020.565804976852
648222,1981-01-04 08:07:01.670,-120.899,34.389,2.3,32.755006898031574,-355.8002246199598,4021.3382137731483
648223,1981-01-04 09:21:32.320,-115.753,32.174,2.77,-219.59038131452036,119.324850835553,4021.389957407407
648226,1981-01-04 15:42:10.910,-116.72,34.005,2.21,-16.680222651413708,27.70753787135198,4021.654292939815
648235,1981-01-05 14:37:27.770,-119.287,34.064,2.65,-7.843922895649801,-208.75455313268077,4022.6093491898146
648236,1981-01-05 14:37:53.550,-116.953,34.093,2.11,-6.933761921293864,6.223296827060725,4022.6096475694444
648243,1981-01-06 17:59:15.370,-114.25,35.376,2.5,139.1732835983914,251.18220333766988,4023.749483449074
648246,1981-01-07 06:40:44.040,-117.651,34.402,2.25,27.602436177572883,-57.838197289789015,4024.2782875000003
648248,1981-01-07 06:58:43.660,-117.653,34.394,2.07,26.714019341797165,-58.02722240994492,4024.290783101852
648251,1981-01-07 11:42:30.000,-122.0,37.0,4.24,327.3832531015081,-442.0009829756348,4024.487847222222
648252,1981-01-07 14:29:22.920,-115.573,33.056,2.03,-121.29706756450138,134.91380691826242,4024.6037375
648253,1981-01-07 14:47:45.900,-120.558,35.266,2.11,129.11594989834654,-321.1106091424899,4024.616503472222
648256,1981-01-07 20:04:57.830,-117.683,35.051,2.2,99.78613032166145,-60.30100873313109,4024.8367804398144
648257,1981-01-07 20:05:15.700,-117.708,35.047,2.0,99.35652046988116,-62.57981106794216,4024.8369872685184
648258,1981-01-07 20:06:04.590,-116.297,34.891,2.0,82.03317985947938,65.99688341084926,4024.837553125
648259,1981-01-07 21:13:59.950,-116.847,34.349,2.0,21.54365501917293,15.93569312218413,4024.8847216435183
