id,time,longitude,latitude,magnitude,x,y
3,2008-01-01 04:19:05.720,-116.355667,33.345688,0.72,-20.52413836913255,24.043410443575745
7,2008-01-01 05:19:48.069,-116.66389,33.61172,1.21,9.028408802356621,-4.57301691523549
8,2008-01-01 05:46:09.090,-116.66279,33.61116,0.74,8.966091654837097,-4.471181489199093
13,2008-01-01 06:57:40.033,-116.725136,33.667522,0.61,15.237685008990276,-10.238012752830587
15,2008-01-01 07:01:37.256,-116.66245,33.61113,0.75,8.962741191535926,-4.439697452016581
22,2008-01-01 08:06:14.916,-116.45734,33.50867,0.93,-2.420280093055378,14.571717118970096
28,2008-01-01 11:26:30.606,-116.66301,33.61109,1.39,8.958317521598827,-4.491558156767098
29,2008-01-01 12:13:28.033,-116.66298,33.60949,1.5,8.78040434377752,-4.488863272529154
32,2008-01-01 14:19:05.102,-116.995995,33.634079,1.38,11.578533724228187,-35.318049248042584
35,2008-01-01 15:25:59.232,-116.40459,33.40771,0.89,-13.637861929419572,19.485094574421726
38,2008-01-01 19:03:04.703,-116.523987,33.475376,0.93,-6.129779914116255,8.395801188659517
43,2008-01-02 02:50:30.384,-116.475784,33.48735,0.64,-4.793394007310066,12.864859784963366
52,2008-01-02 09:42:27.338,-116.66246,33.60947,0.87,8.778158047312237,-4.4407089524288565
53,2008-01-02 10:17:43.085,-116.66194,33.60913,1.8,8.740329615656645,-4.392570903286152
62,2008-01-02 13:29:31.448,-116.37051,33.35043,1.09,-20.00018890335271,22.663426817648975
63,2008-01-02 18:14:42.189,-116.713341,33.563828,0.79,3.7063360925460094,-9.157458297453818
65,2008-01-03 00:38:02.858,-116.62719,33.45281,1.45,-8.642594467432515,-1.1766087219866783
66,2008-01-03 01:25:22.485,-116.74598,33.65724,1.28,14.096632899845666,-12.168453639316384
73,2008-01-03 05:33:09.358,-116.424171,33.567493,1.31,4.125686852179178,17.634958864074427
74,2008-01-03 05:47:11.090,-116.95116,33.80385,0.62,30.44180079134903,-31.1057749873145
78,2008-01-03 07:30:07.114,-116.85374,33.86824,0.67,37.57658939887585,-22.087848463594135
83,2008-01-03 09:08:10.495,-116.79332,33.475281,0.9,-6.129716643381841,-16.584912078018636
84,2008-01-03 09:31:53.084,-116.70712,33.69396,1.64,18.175820780504335,-8.56810689424199
85,2008-01-03 10:13:00.164,-116.66179,33.61056,1.24,8.89933201006105,-4.378607294711071
88,2008-01-03 11:04:39.017,-116.66166,33.61081,1.01,8.92712525758455,-4.366555951968588
89,2008-01-03 11:41:11.002,-116.66162,33.6106,0.79,8.903772638498335,-4.362862371645387
92,2008-01-03 12:09:49.208,-116.66158,33.61082,0.93,8.928233838908378,-4.359147044284488
93,2008-01-03 13:27:25.858,-116.66279,33.61098,1.18,8.946076568280438,-4.47119081895569
94,2008-01-03 17:18:06.078,-116.789482,33.864662,1.14,37.16685315684816,-16.1557195399149
99,2008-01-04 05:43:15.007,-116.46223,33.51141,0.87,-2.1162822239096366,14.117896164779223
104,2008-01-04 10:51:54.425,-116.68808,33.66768,1.29,15.252205155499947,-6.808686611507823
107,2008-01-04 11:32:45.741,-116.75187,33.66391,1.26,14.839010147937538,-12.712618705150762
111,2008-01-04 13:59:54.201,-116.49676,33.48927,1.0,-4.582303800397444,10.919358777477598
112,2008-01-04 14:33:58.764,-116.94227,33.50734,0.99,-2.531203649146319,-30.388778621354593
113,2008-01-04 14:56:25.370,-116.517982,33.493298,0.72,-4.136442703996257,8.950913231978747
116,2008-01-04 17:56:19.007,-116.336067,33.379894,0.83,-16.715900286681624,25.853848370697367
118,2008-01-04 21:34:57.220,-117.07097,33.66084,0.7,14.582277119798189,-42.24605954474273
121,2008-01-05 02:50:13.695,-116.894516,33.799187,0.7,29.90770421342806,-25.87344351124002
123,2008-01-05 03:52:35.809,-116.66114,33.356327,2.04,-19.370114360718954,-4.331112646008972
127,2008-01-05 07:07:41.176,-116.76379,33.67918,0.94,16.53848234314254,-13.81334010102795
129,2008-01-05 13:10:39.895,-116.43999,33.47231,1.23,-6.46075481376394,16.187110802248426
130,2008-01-05 13:27:46.223,-116.80326,33.69512,0.95,18.3168877285457,-17.46232297075955
139,2008-01-06 04:42:15.756,-116.3894,33.48746,1.9,-4.767117948965089,20.8758508264628
141,2008-01-06 07:29:22.500,-116.507607,33.491852,0.74,-4.29628743332228,9.913163092166215
145,2008-01-06 12:15:48.463,-116.403,33.344505,1.0,-20.665634332245272,19.64697455427967
146,2008-01-06 13:40:09.816,-116.740517,33.634907,2.14,11.612688779724639,-11.665848087207818
147,2008-01-06 20:28:32.259,-116.2896,33.35911,1.11,-19.014441037754132,30.175622669385056
148,2008-01-06 21:15:16.478,-116.81988,33.71111,1.23,20.097819165716253,-18.996379423926047
149,2008-01-06 22:32:34.260,-117.07088,33.66027,1.89,14.518859467558718,-42.23800951206427
151,2008-01-06 23:18:23.937,-117.07166,33.65982,1.05,14.469140130556955,-42.310420340091234
154,2008-01-07 03:37:17.312,-116.73353,33.68616,1.69,17.310996699012534,-11.012443436955687
155,2008-01-07 04:03:04.006,-116.6282,33.4522,0.74,-8.710411466803315,-1.2703198245141365
156,2008-01-07 05:01:20.503,-116.56799,33.59676,0.77,7.364810007871912,4.308458941797411
157,2008-01-07 05:07:35.477,-116.81567,33.69984,1.67,18.843888590043626,-18.609404522833255
158,2008-01-07 05:10:36.582,-116.810249,33.691929,1.01,17.96326500271907,-18.109576921149966
160,2008-01-07 07:14:49.152,-116.705826,33.655746,0.99,13.926511963400172,-8.452142052550805
164,2008-01-07 09:45:04.137,-116.721642,33.64584,0.91,12.826417092846336,-9.917159456840357
165,2008-01-07 14:27:26.995,-116.590149,33.469093,0.67,-6.8318142038114384,2.2594237809639246
166,2008-01-07 17:22:47.358,-116.403191,33.301823,1.44,-25.41168999304896,19.638866309446183
168,2008-01-07 18:11:20.050,-116.57389,33.45143,2.76,-8.795378044567528,3.768327641112801
171,2008-01-08 00:35:42.651,-116.69207,33.6749,0.72,16.05530180699707,-7.17733507284501
184,2008-01-08 17:34:22.819,-116.787102,33.682957,0.7,16.961816731260765,-15.969733329807799
185,2008-01-08 20:50:35.231,-116.68967,33.68052,1.66,16.680053546625007,-6.954794263279816
188,2008-01-09 03:45:01.072,-116.68967,33.68052,1.21,16.680053546625007,-6.954794263279816
190,2008-01-09 05:14:15.493,-116.75193,33.644524,0.72,12.683393127785047,-12.721033712025264
192,2008-01-09 06:11:12.751,-116.5694,33.5093,1.08,-2.360355766900562,4.182095476420046
195,2008-01-09 07:45:49.965,-116.52339,33.47717,0.85,-5.930247775286546,8.450997999399274
198,2008-01-09 09:43:25.298,-116.83757,33.618057,0.67,9.754188202761938,-20.654956387699347
200,2008-01-09 12:43:36.901,-116.944366,33.71212,0.73,20.239881286981742,-30.51059656194217
202,2008-01-09 15:44:18.437,-116.34769,33.34742,0.75,-20.329674391348707,24.783889735288227
204,2008-01-09 19:01:33.804,-116.45384,33.50616,0.96,-2.698882204505069,14.896649935899815
207,2008-01-10 05:08:40.679,-116.35454,33.32197,0.92,-23.161196318689125,24.154683141997992
208,2008-01-10 07:23:37.822,-116.456833,33.497856,0.76,-3.622670369758628,14.620550372649882
214,2008-01-10 17:28:31.135,-116.44202,33.49707,0.96,-3.7078841352564247,15.994246708463224
216,2008-01-10 21:26:39.291,-116.510681,33.494545,0.72,-3.997128996672215,9.627803662139927
222,2008-01-11 05:47:33.429,-116.42603,33.37741,0.71,-17.01088467430042,17.501087284962782
223,2008-01-11 06:54:31.339,-116.58149,33.49619,1.17,-3.818543290520897,3.061648167310167
235,2008-01-12 02:14:19.630,-116.399857,33.410542,0.68,-13.32205989166197,19.92377312370517
239,2008-01-12 09:39:28.016,-116.80036,33.69864,2.66,18.707808544440457,-17.193328115817405
242,2008-01-12 11:18:05.126,-116.80228,33.69076,0.8,17.831913249672766,-17.372539100846762
256,2008-01-13 03:42:59.552,-116.39277,33.42724,1.07,-11.463945705740938,20.57762309737209
265,2008-01-13 15:43:44.765,-116.85785,33.47013,0.87,-6.690307562562801,-22.57142246956868
273,2008-01-14 07:32:57.774,-116.73819,33.65268,1.13,13.588696330321516,-11.448055333837916
274,2008-01-14 07:33:06.228,-116.718948,33.64917,0.62,13.19644155988694,-9.667409363918338
275,2008-01-14 07:39:17.439,-116.73743,33.65244,1.02,13.561925839889227,-11.37774142413868
276,2008-01-14 09:54:56.457,-116.37147,33.42089,1.31,-12.165608455584392,22.555947515666404
278,2008-01-14 13:39:05.979,-116.47688,33.48463,0.62,-5.095979491252167,12.763620645102804
282,2008-01-15 00:01:09.936,-116.46307,33.48052,1.19,-5.551206627530195,14.0450302095176
283,2008-01-15 01:23:14.841,-116.6065,33.42349,1.33,-11.902872941070733,0.7431452542197651
284,2008-01-15 02:58:37.318,-116.62588,33.45358,1.08,-8.556988456974082,-1.0550648611091837
291,2008-01-15 07:43:01.616,-116.76562,33.66456,1.23,14.913058459806699,-13.98504698590705
292,2008-01-15 07:51:10.601,-116.761147,33.813282,0.67,31.449591378605568,-13.547618678862706
296,2008-01-15 11:35:08.441,-116.33082,33.3921,0.87,-15.35733779488202,26.33734063415578
297,2008-01-15 12:19:54.943,-116.73338,33.65585,0.66,13.940663079380654,-11.002436860860858
301,2008-01-15 20:04:49.318,-116.50654,33.47631,0.81,-6.024376310345167,10.013906140430953
303,2008-01-16 00:34:05.208,-116.75883,33.66549,1.08,15.015573748371068,-13.356507192174439
304,2008-01-16 03:44:13.296,-116.56112,33.49171,1.02,-4.315910050341421,4.9507727664187415
305,2008-01-16 04:25:08.711,-116.773849,33.842644,2.58,34.716231016237906,-14.716079037869621
307,2008-01-16 06:28:42.729,-116.536095,33.47274,0.73,-6.423803787872892,7.273002838400059
313,2008-01-16 10:16:25.184,-116.79751,33.93711,1.59,45.22398286026686,-16.882653612131417
315,2008-01-16 12:38:48.178,-116.36467,33.33062,1.64,-22.201669659970094,23.211155407256577
317,2008-01-16 16:45:16.825,-116.58867,33.46143,0.7,-7.683867743899933,2.3968233637544696
321,2008-01-17 06:04:46.263,-116.33831,33.311001,0.91,-24.377002091340415,25.66591325793959
323,2008-01-17 10:35:54.819,-116.83098,33.71424,2.07,20.44795022088158,-20.022368262769803
324,2008-01-17 11:14:34.652,-116.77881,33.67323,1.2,15.878976357987733,-15.204213734059413
325,2008-01-17 12:02:07.193,-116.415,33.44468,0.95,-9.528892305662927,18.510919858308448
328,2008-01-17 14:21:35.218,-116.643112,33.817307,0.67,31.887916116985384,-2.642565352813869
330,2008-01-18 03:07:24.731,-116.413208,33.350136,1.48,-20.041379776462158,18.697541474895214
333,2008-01-18 04:27:11.327,-116.62966,33.45014,0.7,-8.939454194111018,-1.4058048416333977
337,2008-01-18 09:25:28.090,-116.85237,33.86634,1.3,37.36502741469439,-21.96184671885906
342,2008-01-18 20:51:59.798,-116.704689,33.603252,0.75,8.089353849166935,-8.351988767344828
348,2008-01-19 07:04:27.986,-116.78775,33.6799,0.73,16.62199404582392,-16.03026033517562
351,2008-01-19 10:12:10.839,-116.533325,33.502388,0.65,-3.1268992873803514,7.527350499674914
354,2008-01-19 11:05:48.270,-116.885109,33.632164,2.07,11.333297077908052,-25.05282566682155
355,2008-01-19 13:53:08.956,-116.39225,33.34988,1.05,-20.065877384069456,20.64426606022567
356,2008-01-19 14:04:47.530,-116.75776,33.92401,0.96,43.76154189189073,-13.217597890518336
360,2008-01-19 18:54:43.588,-116.48586,33.47422,1.18,-6.2545869953965285,11.932247428528605
361,2008-01-19 20:27:04.542,-116.74899,33.65925,0.92,14.320492212893445,-12.446754048294089
364,2008-01-20 02:32:42.143,-116.717224,33.657242,0.67,14.093847379291951,-9.50693862948534
367,2008-01-20 04:33:44.425,-116.3765,33.37757,1.31,-16.983651141547444,22.100149145950443
369,2008-01-20 05:00:24.443,-116.377029,33.334923,0.79,-21.725890695274295,22.06185291944485
373,2008-01-20 09:29:58.822,-116.45763,33.50895,1.11,-2.3891862171772074,14.544782848463095
375,2008-01-20 09:36:24.500,-116.45763,33.5088,1.23,-2.4058654516214673,14.544808065342878
378,2008-01-20 10:51:13.307,-116.45784,33.50878,0.63,-2.408118771354929,14.525341410848744
381,2008-01-20 16:28:40.980,-116.86189,33.47376,1.53,-6.285784286292071,-22.945193469156766
383,2008-01-20 16:52:38.010,-116.37636,33.37785,0.64,-16.95248678350732,22.113077507815202
390,2008-01-21 03:07:18.318,-116.50585,33.49898,0.98,-3.5035208586402917,10.075264417710772
391,2008-01-21 03:13:49.467,-116.7261,33.64236,0.7,12.439894341462315,-10.330241915305425
392,2008-01-21 03:23:47.591,-116.72602,33.64251,1.45,12.456565605894626,-10.322818260541496
394,2008-01-21 03:24:29.728,-116.684494,33.509666,0.75,-2.3183789423103867,-6.488691435330483
397,2008-01-21 11:25:56.239,-116.7283,33.70199,0.61,19.070668317064555,-10.526606138726052
404,2008-01-22 01:15:37.746,-116.74917,33.70223,0.68,19.0996708070558,-12.457192602280754
405,2008-01-22 01:33:03.140,-116.71552,33.69782,0.75,18.605759529283567,-9.344819286004329
406,2008-01-22 03:10:16.397,-116.749413,33.493374,1.02,-4.124022759925001,-12.509912356560049
407,2008-01-22 04:09:21.836,-116.82983,33.71092,0.8,20.078561505310127,-19.916769312980552
410,2008-01-22 05:49:41.101,-116.33548,33.329742,0.78,-22.292397238702026,25.923307854095107
412,2008-01-22 06:02:34.795,-116.8098,33.58872,0.62,6.486874383829145,-18.089685626891676
413,2008-01-22 06:17:44.180,-116.8284,33.71046,1.16,20.027137762299404,-19.78460402515498
415,2008-01-22 07:30:13.281,-116.80617,33.89057,0.74,40.050421256466834,-17.691196413234156
416,2008-01-22 08:29:44.805,-116.82754,33.71049,2.02,20.030309642215546,-19.705049071896017
417,2008-01-22 08:30:42.281,-116.82695,33.71002,1.31,19.977935947392265,-19.65058278353637
418,2008-01-22 08:36:52.853,-116.825012,33.707424,0.84,19.688908011212938,-19.47190884279501
427,2008-01-22 18:45:41.110,-116.457199,33.476521,0.6,-5.9950649915614145,14.590207771876885
428,2008-01-22 20:07:47.383,-116.76011,33.70811,0.81,19.754866122381355,-13.468295613454792
431,2008-01-22 20:54:26.505,-116.58145,33.49875,0.62,-3.5338831013160106,3.0652666168336746
432,2008-01-22 21:06:15.615,-116.440033,33.410686,0.96,-13.313035374777227,16.194630515743082
434,2008-01-22 21:54:08.856,-116.3765,33.37757,2.1,-16.983651141547444,22.100149145950443
435,2008-01-22 22:03:41.429,-116.37695,33.37741,1.09,-17.001537978857655,22.058405181614088
437,2008-01-22 22:47:38.303,-116.83032,33.71094,1.2,20.080879746457374,-19.96208833327861
438,2008-01-23 04:17:07.153,-116.66141,33.61066,1.33,8.910435514722062,-4.343412247990308
442,2008-01-23 07:30:09.954,-116.51104,33.5928,0.73,6.9282939545638955,9.583612858983876
446,2008-01-23 10:29:04.801,-116.71228,33.64259,0.87,12.464176761877427,-9.050885038336988
447,2008-01-23 11:44:42.787,-116.37595,33.37799,1.24,-16.936832137792116,22.151112091958016
455,2008-01-23 18:16:09.959,-116.582123,33.474136,2.4,-6.2708546741732665,3.003716405358194
458,2008-01-23 21:47:20.151,-116.51116,33.5929,0.65,6.93940235900071,9.572486849502681
461,2008-01-23 22:42:56.031,-116.558441,33.504601,0.62,-2.8823652700043927,5.198429430118102
463,2008-01-24 01:28:57.394,-116.51104,33.5928,0.66,6.9282939545638955,9.583612858983876
464,2008-01-24 03:00:42.414,-116.48381,33.48968,2.28,-4.535276167753581,12.120223588569766
