index,time,longitude,latitude,magnitude,time_days,x,y,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
598069,1981-01-02 15:03:09.420,-118.281,36.043,3.13,4019.627192361111,210.60126845299132,-113.33875385528636,,,,,,,
598121,1981-01-07 11:42:30.000,-122.00181970120428,36.99703588883984,4.24,4024.487847222222,327.04010295811673,-442.3623571973188,,,,,,,
598140,1981-01-08 14:52:14.370,-118.66,33.908,3.2,4025.619610763889,-26.298506928763302,-151.28451796279614,,,,,,,
598183,1981-01-11 04:44:29.510,-120.656,36.095,3.49,4028.197563773148,221.5886992792368,-326.63013756025794,,,,,,,
598227,1981-01-13 23:00:31.430,-115.523,33.883,3.0,4030.9586971064814,-29.27898916695424,138.2420610295394,,,,,,,
598258,1981-01-17 00:09:35.540,-120.584,35.956,3.3,4034.006661342593,205.9037551683032,-320.7210464535755,,,,,,,
598275,1981-01-18 20:19:55.770,-116.767,33.489,3.01,4035.8471732638886,-74.07277374309757,23.518958489315438,,,,,,,
598376,1981-01-26 05:23:02.400,-116.186,33.815,3.0,4043.224333333333,-37.53790582337901,77.10486005048757,,,,,,,
598429,1981-01-30 01:54:13.090,-118.476,33.911,3.08,4047.079318171296,-26.221867969729395,-134.30132273350273,,,,,,,
598450,1981-01-31 05:23:22.380,-120.171,36.095,3.62,4048.224564583333,220.1152159964322,-283.06988074321623,,,,,,,
598451,1981-01-31 06:18:31.550,-120.151,36.13,3.27,4048.262865162037,223.95016998918035,-281.1500219353661,,,,,,,
598471,1981-02-01 11:30:07.160,-116.769,33.487,3.59,4049.4792495370375,-74.29561990844154,23.33402558376449,,,,,,,
598474,1981-02-01 11:48:22.080,-116.782,33.499,3.0,4049.491922222222,-72.96416077400698,22.12532592712042,,,,,,,
598488,1981-02-01 19:27:07.920,-116.78028097981893,33.49137459102256,3.17,4049.8105083333335,-73.81169503966319,22.2866992047543,,,,,,,
598698,1981-02-10 23:03:45.310,-120.24,36.199,3.01,4058.960941087963,231.8742752654439,-288.89020409276543,,,,,,,
598701,1981-02-11 02:37:49.710,-120.252,36.183,3.44,4059.109603125,230.130107664378,-290.02494986030143,,,,,,,
598703,1981-02-11 04:41:06.650,-120.289,35.95,3.4,4059.195215856482,204.3338710327314,-294.2017162895037,,,,,,,
598852,1981-02-18 10:49:24.280,-118.073,36.722,3.06,4066.4509754629626,285.8858199835478,-93.82709981227704,,,,,,,
598895,1981-02-21 15:09:51.820,-116.4537187868714,33.50350811436902,3.12,4069.6318497685184,-72.34342505198985,52.56284959067612,,,,,,,
598901,1981-02-21 22:56:16.580,-116.763,33.654,3.39,4069.955747453704,-55.72470199567756,23.844058544279655,,,,,,,
598933,1981-02-23 06:12:48.020,-120.9,35.226,3.38,4071.25888912037,125.80420916493262,-352.3111616815592,,,,,,,
598938,1981-02-23 13:07:05.450,-120.743,36.208,3.36,4071.5465908564815,234.4374435643953,-333.96912861044825,,,,,,,
598951,1981-02-24 02:42:48.810,-121.671,36.848,3.22,4072.113064930556,309.0531558916449,-413.7974889160192,,,,,,,
598952,1981-02-24 09:11:57.110,-121.907,36.882,3.5,4072.38329988426,313.8368018029562,-434.59074977344335,,,,,,,
599031,1981-02-27 15:11:12.860,-118.592,34.152,3.36,4075.6327877314816,0.7336671302778741,-144.5930311428791,,,,,,,
599176,1981-03-08 11:17:09.090,-115.595,33.078,3.53,4084.470244097222,-118.88367035341452,132.8322915796899,,,,,,,
599254,1981-03-12 14:06:43.030,-115.547,33.227,3.25,4088.587998032407,-102.25309659193756,137.0693037225236,,,,,,,
599267,1981-03-12 23:09:09.080,-114.716,35.913,3.04,4088.964688425926,197.81397906762777,207.56180283100852,,,,,,,
599321,1981-03-16 13:10:58.650,-115.377,36.588,3.04,4092.549289930556,271.6980142078005,146.7837355823308,,,,,,,
599341,1981-03-18 06:07:11.920,-117.013,34.078,3.73,4094.2549990740745,-8.60799228499581,0.7006459715706261,,,,,,,
599490,1981-04-01 02:05:14.460,-116.816,33.576,3.35,4108.086972916666,-64.40896347932372,18.95563175856204,,,,,,,
599626,1981-04-07 06:23:28.250,-116.317,32.928,3.12,4114.266299189815,-136.25816671342932,65.67356803629333,,,,,,,
599752,1981-04-11 21:47:43.440,-118.486,35.354,3.06,4118.908141666667,134.24075363452886,-132.9010837681733,,,,,,,
599904,1981-04-19 08:46:49.620,-117.769,35.835,3.91,4126.365852083333,187.01244408019096,-67.47395072149236,,,,,,,
599905,1981-04-19 08:54:04.510,-117.779,35.835,3.41,4126.370885532408,187.01919600180207,-68.37551851697452,,,,,,,
599906,1981-04-19 09:02:10.630,-117.756,35.826,4.14,4126.376511921296,186.0030549011105,-66.30933036426774,,,,,,,
599907,1981-04-19 09:02:50.520,-117.816,35.816,4.7,4126.376973611111,184.932275180456,-71.72825166657314,,,,,,,
599910,1981-04-19 09:19:56.930,-117.755,35.837,4.03,4126.388853356481,187.22552988475903,-66.21010814539991,,,,,,,
599925,1981-04-20 01:37:42.060,-116.701,33.35,3.48,4127.067847916666,-89.5117580449131,29.687420735148283,,,,,,,
600019,1981-04-22 06:28:50.840,-115.638,33.105,3.48,4129.27003287037,-115.93609343068472,128.78603459250354,,,,,,,
600082,1981-04-23 03:35:27.520,-117.791,35.857,3.44,4130.1496240740735,189.47368168781904,-69.43839612539637,,,,,,,
600178,1981-04-25 02:11:54.610,-115.629,33.102,3.94,4132.091604282407,-116.2583779433472,129.62877610180055,,,,,,,
600179,1981-04-25 02:13:36.780,-115.636,33.096,3.04,4132.092786805555,-116.93432248723607,128.98565071455698,,,,,,,
600255,1981-04-25 07:03:13.610,-115.629,33.109,3.87,4132.293907523148,-115.4800308320136,129.61835280013037,,,,,,,
600366,1981-04-25 13:36:45.830,-115.635,33.096,3.03,4132.567197106481,-116.93306950650695,129.07880198387144,,,,,,,
600390,1981-04-25 17:24:04.240,-115.63,33.102,3.24,4132.725049074074,-116.25963633075548,129.5356313248431,,,,,,,
600452,1981-04-26 04:27:24.510,-115.632,33.084,3.18,4133.185700347222,-118.2636146632478,129.37608088633593,,,,,,,
600531,1981-04-26 10:58:08.810,-115.626,33.095,3.66,4133.457046412037,-117.03294440671851,129.91865485664684,,,,,,,
600534,1981-04-26 11:04:33.190,-115.627,33.099,3.04,4133.46149525463,-116.58943577179812,129.81953877856645,,,,,,,
600554,1981-04-26 12:00:13.380,-115.628,33.111,3.01,4133.500154861111,-115.25638668622786,129.7085096136176,,,,,,,
600555,1981-04-26 12:01:59.990,-115.629,33.112,3.75,4133.501388773148,-115.1464535038122,129.61388528071507,,,,,,,
600556,1981-04-26 12:05:57.330,-115.627,33.096,3.79,4133.504135763888,-116.9230130922734,129.8240117034371,,,,,,,
600558,1981-04-26 12:09:28.290,-115.62507106223605,33.09766375468031,5.75,4133.506577430556,-116.73558272263136,130.00121046236055,,,,,,,
600562,1981-04-26 12:27:57.080,-115.686,33.037,3.0,4133.519410648148,-123.55618478460283,124.41226949228816,,,,,,,
600563,1981-04-26 12:28:08.010,-115.642,33.099,3.3,4133.519537152778,-116.60824389321684,128.4223180686994,,,,,,,
600564,1981-04-26 12:28:36.180,-115.697,33.037,3.31,4133.519863194445,-123.5694124938034,123.38690423953248,,,,,,,
600568,1981-04-26 12:40:41.970,-115.724,32.961,4.17,4133.528263541667,-132.05206946236063,120.97533783410114,,,,,,,
600583,1981-04-26 12:57:43.070,-115.598,33.116,3.03,4133.540081828704,-114.66222658146424,132.49494580535793,,,,,,,
600585,1981-04-26 12:59:21.150,-115.688,33.074,3.25,4133.541217013889,-119.44446930113432,124.17312704136872,,,,,,,
600588,1981-04-26 13:03:15.890,-115.568,33.136,3.7,4133.543933912037,-112.3993702152455,135.25772493724375,,,,,,,
600709,1981-04-26 14:43:00.700,-115.593,33.11,3.02,4133.613202546296,-115.32293497682184,132.96975929534673,,,,,,,
600757,1981-04-26 15:22:13.990,-115.607,33.111,3.36,4133.640439699074,-115.22973325549766,131.66434460884832,,,,,,,
600771,1981-04-26 15:43:56.910,-115.593,33.117,3.47,4133.655519791667,-114.54458879702588,132.9590648340774,,,,,,,
600814,1981-04-26 16:33:09.050,-115.632,33.095,3.57,4133.689688078704,-117.04049759490069,129.3597412926981,,,,,,,
600882,1981-04-26 17:42:26.350,-115.625,33.171,3.48,4133.737804976852,-108.58105841924684,129.89825998112957,,,,,,,
601009,1981-04-26 20:56:22.570,-115.584,33.112,3.03,4133.872483449074,-115.08889137454972,133.8049060141354,,,,,,,
601047,1981-04-26 21:58:54.930,-115.637,33.097,3.06,4133.915913541667,-116.82438208723455,128.89101918359137,,,,,,,
601199,1981-04-27 02:55:49.700,-115.601,33.112,3.24,4134.122103009259,-115.11085237220296,132.22163444896242,,,,,,,
601276,1981-04-27 10:40:49.340,-115.686,33.031,3.05,4134.445015509259,-124.22334078520412,124.42082707919808,,,,,,,
601330,1981-04-27 16:48:30.660,-115.68,33.071,3.01,4134.700354861111,-119.76837376866531,124.92283098473015,,,,,,,
601456,1981-04-28 15:55:47.200,-120.165,34.539,3.03,4135.663740740741,47.10497846138769,-287.96914176977,,,,,,,
601610,1981-04-30 15:17:59.890,-115.483,33.178,3.05,4137.637498726852,-107.61436238703608,143.1026624430603,,,,,,,
601623,1981-04-30 20:09:46.050,-116.496,33.501,3.38,4137.840116319445,-72.64316204238425,48.64391882710876,,,,,,,
601674,1981-05-02 02:11:05.760,-117.779,35.823,3.24,4139.091038888889,185.6848691801722,-68.38571935462667,,,,,,,
601715,1981-05-02 21:50:20.600,-116.277,32.931,3.33,4139.909960648149,-135.89838914556597,69.4046607190437,,,,,,,
601869,1981-05-05 13:59:07.020,-118.064,36.389,3.05,4142.582720138888,248.85018370756288,-93.41889910343572,,,,,,,
601870,1981-05-05 14:34:53.310,-118.049,36.403,3.09,4142.607561458333,250.39299065628825,-92.05964993108329,,,,,,,
602104,1981-05-13 05:33:38.580,-116.421,32.012,3.23,4150.231696527778,-238.1736650787391,56.54764985258073,,,,,,,
602260,1981-05-20 17:21:31.570,-120.99,36.98,3.8,4157.723282060185,321.1067332152106,-352.63878840650324,,,,,,,
602308,1981-05-23 18:50:21.330,-117.889,36.103,3.09,4160.784969097222,216.8992571563469,-78.03124483593157,,,,,,,
