index,time,longitude,latitude,magnitude,time_days,x,y,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
101,2008-01-01 20:53:44.670,-115.6442183759581,33.227849986925285,1.1,13879.870655902778,48.8908804466766,6.746888407747211,,,,,,,
143,2008-01-02 05:21:53.374,-115.439,32.77835,1.37,13880.223534421297,-1.0594781041062038,25.967021096553918,,,,,,,
154,2008-01-02 07:45:43.922,-115.84567,32.67481,1.77,13880.323425023147,-12.59933859943879,-12.066332253831836,,,,,,,
253,2008-01-03 06:47:45.339,-115.57938,33.19932,1.32,13881.283163645834,45.72449758342263,12.781993931198278,,,,,,,
310,2008-01-03 13:03:01.584,-115.50113,32.75467,1.04,13881.543768333337,-3.7061147818518094,20.163898663799863,,,,,,,
364,2008-01-04 01:57:05.501,-115.84277,32.67445,1.34,13882.08131366898,-12.639695445581042,-11.794945272871956,,,,,,,
377,2008-01-04 04:23:11.814,-115.50235,32.75557,1.12,13882.182775625002,-3.606271168574621,20.049608686433302,,,,,,,
414,2008-01-04 11:06:19.729,-115.90339,32.98261,2.41,13882.462728344906,21.63449739531504,-17.408395115694063,,,,,,,
467,2008-01-04 18:56:54.587,-115.59436,33.18339,1.49,13882.789520682873,43.95144523793042,11.39023791544404,,,,,,,
470,2008-01-04 18:58:16.959,-115.59449,33.18356,1.09,13882.790474062502,43.97033433492542,11.378117820377335,,,,,,,
472,2008-01-04 19:08:32.917,-115.59474,33.18376,1.09,13882.797603206016,43.99254636340969,11.354826468518516,,,,,,,
473,2008-01-04 19:08:48.296,-115.59361,33.18376,1.08,13882.797781203704,43.99266863290193,11.459986389067534,,,,,,,
596,2008-01-05 20:05:53.660,-115.94572,33.04417,1.92,13883.837426620372,28.48742208729999,-21.341821846162688,,,,,,,
599,2008-01-05 20:50:34.198,-115.51547,32.87265,1.86,13883.868451365744,9.41001672071267,18.797935878709374,,,,,,,
611,2008-01-05 23:29:31.346,-115.51539,32.87265,1.04,13883.978835023148,9.410030948006517,18.805407091040827,,,,,,,
632,2008-01-06 03:15:47.078,-115.51546,32.87268,1.39,13884.135961550926,9.413354345389866,18.798863423936687,,,,,,,
633,2008-01-06 03:20:33.828,-115.51585,32.87263,1.58,13884.139280416668,9.407725320526302,18.76245184926419,,,,,,,
639,2008-01-06 04:04:26.170,-115.5985,33.17867,1.03,13884.16974733796,43.42616553271914,11.00555088263547,,,,,,,
700,2008-01-06 16:13:38.923,-115.57279,33.05103,1.41,13884.67614494213,29.236223360213867,13.41773601503334,,,,,,,
706,2008-01-06 17:43:34.870,-115.53752723511776,32.94683860556049,1.07,13884.738598032409,17.655703878119134,16.724001972060297,,,,,,,
789,2008-01-07 07:58:17.620,-115.54659,33.00987,1.25,13885.332148379628,24.663074997038777,15.867025732460707,,,,,,,
876,2008-01-08 04:19:17.970,-115.64546,33.15023,1.61,13886.18006909722,40.25985329733631,6.6372564231279885,,,,,,,
1106,2008-01-10 05:27:38.343,-115.7281062577727,32.61711070385581,1.21,13888.227527118055,-19.02249430036444,-1.063268132982934,,,,,,,
1380,2008-01-11 17:51:15.970,-115.54412,33.04198,1.1,13889.74393483796,28.23391697309284,16.091491526633916,,,,,,,
1381,2008-01-11 18:07:18.670,-115.56829,33.02877,1.09,13889.755077199075,26.7616057741658,13.840634827784688,,,,,,,
1386,2008-01-11 19:08:34.390,-115.56896,33.02395,1.11,13889.79762025463,26.225558696184123,13.77892552022912,,,,,,,
1390,2008-01-11 19:30:05.410,-115.62671,33.17137,1.67,13889.81256261574,42.6118491265054,8.380818524949172,,,,,,,
1418,2008-01-11 23:44:07.506,-115.73081,32.61697,1.26,13889.988975763888,-19.038109495577856,-1.316499121903259,,,,,,,
1476,2008-01-12 08:00:48.992,-115.46048,32.81427,1.0,13890.333900370371,2.9295738214724585,23.94919716713664,,,,,,,
1488,2008-01-12 08:39:03.910,-115.46035,32.81412,1.09,13890.360461921297,2.9129240331033186,23.961386297578844,,,,,,,
1489,2008-01-12 08:48:40.897,-115.45937,32.81287,2.26,13890.367140011573,2.7741528760039595,24.05330716925485,,,,,,,
1496,2008-01-12 08:57:18.605,-115.46056,32.81476,1.31,13890.373132002314,2.9840411939040643,23.94158905417,,,,,,,
1505,2008-01-12 09:37:38.800,-115.45731,32.8092,1.28,13890.401143518518,2.36653804096656,24.246821312014365,,,,,,,
1517,2008-01-12 10:10:50.172,-115.45731,32.8091,1.37,13890.424191805554,2.355418554922544,24.246848589236425,,,,,,,
1519,2008-01-12 10:11:57.583,-115.4571,32.80849,1.01,13890.424972025465,2.2876378445019787,24.26664106019369,,,,,,,
1521,2008-01-12 10:17:43.605,-115.46072,32.81469,1.24,13890.428976909723,2.976221350396276,23.92665574690755,,,,,,,
1524,2008-01-12 10:34:46.931,-115.45651,32.80926,1.31,13890.440820960648,2.373393386880003,24.321570326198863,,,,,,,
1525,2008-01-12 10:38:24.580,-115.45721,32.80912,1.2,13890.443340046297,2.3576653780012147,24.25618882114713,,,,,,,
1528,2008-01-12 10:53:54.000,-115.45918,32.81453,1.88,13890.454097222222,2.9587795666992176,24.07061365518136,,,,,,,
1536,2008-01-12 11:06:08.582,-115.45941,32.81314,1.0,13890.462599328705,2.804166393634369,24.0494959947807,,,,,,,
1573,2008-01-12 13:38:14.051,-115.46005,32.81387,1.95,13890.568218182872,2.8851933152309406,23.98948926267726,,,,,,,
1588,2008-01-12 14:45:46.932,-115.46076,32.81471,1.53,13890.615126527777,2.978436200386495,23.922912322508463,,,,,,,
1596,2008-01-12 16:17:29.061,-115.46075,32.8147,1.79,13890.678808576387,2.977326513436524,23.923849524282087,,,,,,,
1640,2008-01-13 00:59:18.601,-115.45902,32.8126,1.83,13891.041187511571,2.7442099049466884,24.08608886372643,,,,,,,
1654,2008-01-13 03:00:16.083,-115.72399219354055,32.61080971947063,2.37,13891.125186145837,-19.72316559735017,-0.6779981070481902,,,,,,,
1657,2008-01-13 03:10:38.090,-115.45928,32.8126,1.51,13891.132385300923,2.744150732287297,24.061791026848223,,,,,,,
1682,2008-01-13 04:30:59.317,-115.45763,32.80998,1.01,13891.188186539352,2.4531967290126317,24.216702639513336,,,,,,,
1699,2008-01-13 05:51:56.379,-115.46099,32.81546,1.41,13891.24440253472,3.0617803528996523,23.90121689393479,,,,,,,
1763,2008-01-13 16:17:49.662,-115.45975,32.81223,1.25,13891.679047013891,2.702901818992248,24.017967995199765,,,,,,,
2031,2008-01-15 14:24:41.010,-115.59284,33.0496,1.27,13893.600474652778,29.074843370371223,11.549219242483057,,,,,,,
2064,2008-01-15 23:41:44.124,-115.87828,32.96938,2.1,13893.98731625,20.159528505795016,-15.068529943293887,,,,,,,
2078,2008-01-16 02:41:51.271,-115.56333,32.97758,1.02,13894.11239896991,21.070199821057606,14.311320239491351,,,,,,,
2100,2008-01-16 06:57:55.088,-115.43464,32.76542,1.38,13894.290220925926,-2.496149126951776,26.37846639259143,,,,,,,
2116,2008-01-16 08:26:49.377,-115.43547,32.76601,1.72,13894.351960381942,-2.4307507531376524,26.300684764936683,,,,,,,
2158,2008-01-16 16:27:43.700,-115.6163,32.5403,1.83,13894.685922453704,-27.5590516522176,9.416435070280686,,,,,,,
2176,2008-01-16 22:10:01.708,-115.4471,32.79627,1.56,13894.92363087963,0.931174889456463,25.20468030974211,,,,,,,
2185,2008-01-17 01:07:58.751,-115.56268,33.01987,1.29,13895.047207766203,25.77272050905935,14.365078121579032,,,,,,,
2268,2008-01-17 20:42:44.810,-115.85616,32.6955,1.47,13895.863018634258,-10.29747221318503,-13.045150823605264,,,,,,,
2286,2008-01-18 00:34:53.880,-115.16119,32.99793,1.84,13896.024234722225,23.45890877848517,51.81068887984679,,,,,,,
2361,2008-01-18 09:08:04.113,-115.42132,32.73247,2.51,13896.38060315972,-6.156620547711989,27.634146238046416,,,,,,,
2363,2008-01-18 09:08:59.250,-115.42177,32.7332,1.9,13896.38124131944,-6.075565698184446,27.5918283559708,,,,,,,
2375,2008-01-18 09:51:08.960,-115.4043,32.71741,1.26,13896.410520370371,-7.826643574926152,29.23109083153792,,,,,,,
2376,2008-01-18 09:52:28.627,-115.42081,32.73204,2.7,13896.411442442131,-6.204301076612707,27.68198387861928,,,,,,,
2377,2008-01-18 09:53:06.707,-115.4043,32.71768,1.26,13896.411883182873,-7.796620970107618,29.2310022822032,,,,,,,
2378,2008-01-18 09:53:26.630,-115.40452,32.71817,1.24,13896.412113773147,-7.742196223591386,29.21026007681704,,,,,,,
2379,2008-01-18 09:54:05.639,-115.40447,32.71785,1.96,13896.412565266206,-7.777764773474167,29.21504258236645,,,,,,,
2380,2008-01-18 09:54:10.870,-115.40452,32.71785,1.82,13896.412625810186,-7.777778570037814,29.21036495099169,,,,,,,
