index,time,longitude,latitude,magnitude,x,y,time_days,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
19,2008-01-01 05:19:47.961,-116.66409,33.61819,1.23,15.160479222340271,-15.035583636135632,13879.222082881945,,,,,,,
38,2008-01-01 07:08:36.601,-116.09156,33.16443,1.02,-35.23192299160348,38.17790690655429,13879.297645844905,,,,,,,
47,2008-01-01 08:06:14.910,-116.45353,33.50611,1.04,2.6870206218321804,4.467458831167096,13879.337672569443,,,,,,,
68,2008-01-01 11:26:30.618,-116.66267,33.61745,1.31,15.077990079605346,-14.904223650880768,13879.476743263887,,,,,,,
69,2008-01-01 11:26:33.902,-116.6619,33.61754,1.04,15.087887253376046,-14.832907837083877,13879.47678127315,,,,,,,
76,2008-01-01 12:13:27.947,-116.66279,33.61588,1.51,14.903431343533772,-14.915606789280726,13879.509351238426,,,,,,,
157,2008-01-02 08:51:21.037,-116.07135,33.24377,1.08,-26.402143845978376,40.02270432809548,13880.368993483797,,,,,,,
162,2008-01-02 10:17:42.872,-116.66174,33.61538,1.74,14.847683414086555,-14.818463148336695,13880.428968425926,,,,,,,
184,2008-01-02 13:10:20.364,-116.7159,33.22264,1.08,-28.813944332573485,-19.923643063813103,13880.548846805556,,,,,,,
212,2008-01-03 00:38:02.764,-116.62325,33.44059,1.48,-4.592911607168841,-11.27704804946068,13881.026420879629,,,,,,,
215,2008-01-03 01:25:22.493,-116.74938,33.66438,1.27,20.31217834040237,-22.920897820028564,13881.059288113427,,,,,,,
240,2008-01-03 05:33:04.682,-116.2164,33.26732,1.96,-23.82988525716883,26.52630716366502,13881.231304189814,,,,,,,
279,2008-01-03 09:31:52.983,-116.70889,33.70032,1.5,23.963945237775462,-18.79448532908392,13881.397141006944,,,,,,,
283,2008-01-03 10:13:00.073,-116.66176,33.61715,1.27,14.816748771052472,-15.239141392932424,13881.425695289352,,,,,,,
296,2008-01-03 11:04:38.983,-116.66176,33.61715,1.08,15.20132354119621,-14.666206479380197,13881.46156230324,,,,,,,
306,2008-01-03 12:09:49.137,-116.66124,33.617,1.04,15.027747831620816,-14.771885771157043,13881.506818715276,,,,,,,
313,2008-01-03 13:27:25.798,-116.66247,33.61742,1.23,15.07462551521617,-14.88570925737063,13881.56071525463,,,,,,,
331,2008-01-03 17:18:06.184,-116.80563,33.86568,1.05,42.70953933149446,-28.06085367160354,13881.720904907408,,,,,,,
345,2008-01-03 20:02:03.770,-116.38501,33.97742,1.23,55.09933746670736,10.761289743775924,13881.834765856482,,,,,,,
398,2008-01-04 08:23:52.694,-116.83877,33.38998,1.49,-10.176345510998386,-31.29279306119125,13882.349915439818,,,,,,,
412,2008-01-04 10:51:54.493,-116.68717,33.66915,1.15,20.830553544355386,-17.16257585662638,13882.452714039351,,,,,,,
424,2008-01-04 11:32:45.744,-116.75809,33.67043,1.26,20.98686633951418,-23.72531871227044,13882.481085,,,,,,,
460,2008-01-04 18:47:01.131,-116.83916,33.72118,1.32,26.65148488960564,-31.209188273028264,13882.782651979169,,,,,,,
572,2008-01-05 13:10:40.054,-116.43491,33.47206,1.02,-1.0982105438371066,6.196290914546396,13883.549074699076,,,,,,,
584,2008-01-05 15:25:11.760,-116.016,33.0155,1.6,-51.76189319533863,45.28804706677525,13883.64249722222,,,,,,,
603,2008-01-05 21:18:41.783,-116.3171,33.31934,2.13,-18.066668258247223,17.153746525987017,13883.887983599538,,,,,,,
605,2008-01-05 21:20:28.970,-116.61324,33.58072,1.22,10.987789553758002,-10.331505397611272,13883.889224189812,,,,,,,
642,2008-01-06 04:42:15.789,-116.39093,33.48685,1.89,0.549849513762692,10.273846926624856,13884.19601607639,,,,,,,
693,2008-01-06 13:40:10.367,-116.74102,33.63735,2.04,17.304764637860476,-22.154148252512385,13884.569564432872,,,,,,,
714,2008-01-06 20:28:32.213,-116.2598,33.35086,1.07,-14.550889322857245,22.46973959492999,13884.853150613424,,,,,,,
717,2008-01-06 21:15:16.425,-116.82548,33.72228,1.29,26.769763175580675,-29.94359603586449,13884.885606770831,,,,,,,
750,2008-01-07 03:37:17.267,-116.73636,33.69331,1.59,23.52624314661584,-21.70863864888072,13885.150894293982,,,,,,,
759,2008-01-07 05:07:35.516,-116.81982,33.7107,1.59,25.48050640044199,-29.424091646612844,13885.21360550926,,,,,,,
771,2008-01-07 06:42:42.950,-116.9576,33.9961,1.17,57.26304543715384,-42.02813630926508,13885.279663773148,,,,,,,
826,2008-01-07 17:22:47.606,-116.39279,33.30732,1.49,-19.41315554400491,10.122259683126,13885.724162106484,,,,,,,
831,2008-01-07 18:11:20.402,-116.57708,33.44944,2.48,-3.61289607247628,-6.992338949757525,13885.757875023148,,,,,,,
907,2008-01-08 07:36:22.278,-116.99805,33.95554,1.79,52.77016487716332,-45.7789327619528,13886.31692451389,,,,,,,
967,2008-01-08 20:50:35.462,-116.69107,33.68034,1.51,22.07547659326508,-17.521214532658295,13886.868465995372,,,,,,,
997,2008-01-09 03:45:01.421,-116.69089,33.68026,1.03,22.066550597569183,-17.5045753434475,13887.15626644676,,,,,,,
1007,2008-01-09 06:11:12.785,-116.56587,33.51353,1.21,3.512888056615165,-5.947895595881645,13887.257786863423,,,,,,,
1065,2008-01-09 16:54:27.347,-116.31899,33.00651,1.33,-52.85207506716655,17.03898970369258,13887.704483182872,,,,,,,
1187,2008-01-10 18:49:44.110,-116.03342,33.17103,1.01,-34.47521507107727,43.5863673820994,13888.784538310189,,,,,,,
1238,2008-01-11 06:54:31.447,-116.57624,33.4953,1.11,1.4864467286134502,-6.910746843410156,13889.287863969908,,,,,,,
1432,2008-01-12 02:14:19.170,-116.38082,33.39777,1.26,-9.3543471817361,11.222949028807344,13890.093277430551,,,,,,,
1497,2008-01-12 08:59:59.697,-116.60141,33.09062,1.09,-43.50995351563368,-9.287784286067248,13890.374996493056,,,,,,,
1506,2008-01-12 09:39:28.603,-116.80731,33.70393,2.36,24.724236018008177,-28.26917324495751,13890.402414386575,,,,,,,
1840,2008-01-14 06:43:15.180,-116.29679,33.25316,1.93,-25.422011218614724,19.05535845851391,13892.280036805556,,,,,,,
1841,2008-01-14 06:43:51.221,-116.29733,33.2527,1.05,-25.47325960916981,19.00524547054219,13892.280453946758,,,,,,,
1856,2008-01-14 07:32:57.810,-116.74294,33.65884,1.26,19.69475380405377,-22.32632844389047,13892.31455798611,,,,,,,
1880,2008-01-14 09:54:56.359,-116.36853,33.41983,1.26,-6.899993038145602,12.360727435139031,13892.41315230324,,,,,,,
1926,2008-01-14 15:43:37.403,-116.73325,33.95139,1.13,52.22276502757752,-21.35655369969161,13892.655294016206,,,,,,,
1952,2008-01-15 00:01:10.130,-116.45852,33.47972,1.16,-0.2476170066010524,4.006020037620544,13893.000811689812,,,,,,,
1957,2008-01-15 01:23:14.964,-116.60532,33.42003,1.34,-6.8808816317220085,-9.615648279117224,13893.057812083332,,,,,,,
1967,2008-01-15 02:58:37.244,-116.62216,33.44155,1.07,-4.486282274870362,-11.175786069811515,13893.124042175925,,,,,,,
1996,2008-01-15 07:43:01.549,-116.76971,33.6728,1.13,21.25311723624896,-24.79996024577513,13893.32154570602,,,,,,,
2068,2008-01-16 00:34:05.312,-116.76193,33.67393,1.18,21.37693352991171,-24.07969696694284,13894.023672592592,,,,,,,
2083,2008-01-16 04:25:09.195,-116.78108,33.84062,2.3,39.91661036481448,-25.801681653256853,13894.18413420139,,,,,,,
2129,2008-01-16 10:16:25.492,-116.80257,33.93195,1.35,50.077593922007146,-27.75681928105142,13894.428072824076,,,,,,,
2143,2008-01-16 12:38:48.374,-116.35377,33.33239,1.5,-16.621022111573428,13.744421253949069,13894.52694877315,,,,,,,
2215,2008-01-17 06:04:46.528,-116.32643,33.31625,1.05,-18.4117603753446,16.287409951577644,13895.253316296295,,,,,,,
2231,2008-01-17 10:35:54.817,-116.83615,33.72505,1.95,27.080906340155675,-30.92941369014352,13895.44160667824,,,,,,,
2232,2008-01-17 11:14:34.740,-116.7824,33.68279,1.19,22.36706072710623,-25.97125754272971,13895.468457638888,,,,,,,
2240,2008-01-17 13:07:37.020,-116.8045,33.1258,1.09,-39.56158535037356,-28.19643036156812,13895.54695625,,,,,,,
2272,2008-01-17 21:46:17.340,-116.32967,33.8985,1.6,46.330961441468936,15.878862749776072,13895.907145138888,,,,,,,
2303,2008-01-18 03:07:25.168,-116.40375,33.35353,1.14,-14.275851405972576,9.098914900500676,13896.130152407408,,,,,,,
2310,2008-01-18 03:45:23.348,-116.20917,33.3396,1.29,-15.790856868013233,27.17592841288017,13896.15652023148,,,,,,,
2311,2008-01-18 03:45:43.298,-116.20857,33.33978,1.53,-15.77068483649706,27.2316090906934,13896.156751134258,,,,,,,
2369,2008-01-18 09:25:27.952,-116.85824,33.88592,1.15,44.97561822208192,-32.91058213718433,13896.392684629627,,,,,,,
2466,2008-01-19 02:22:50.469,-116.21556,33.3496,1.42,-14.680560294296509,26.579272698378105,13897.099195243054,,,,,,,
2519,2008-01-19 13:53:09.409,-116.3873,33.35256,1.05,-14.382150062031824,10.626917527215788,13897.578581122683,,,,,,,
2536,2008-01-19 18:54:43.875,-116.48168,33.46834,1.19,-1.5136690861694722,1.8582763315064736,13897.7880078125,,,,,,,
2545,2008-01-19 20:27:04.540,-116.75388,33.66524,1.04,20.40880966679196,-23.337127750138123,13897.85213587963,,,,,,,
2588,2008-01-20 04:33:44.474,-116.37305,33.37741,1.11,-11.617409509087596,11.94706295528499,13898.190098078703,,,,,,,
2624,2008-01-20 09:29:58.877,-116.45354,33.50565,1.16,2.635870525833004,4.466555391862627,13898.395820335649,,,,,,,
2627,2008-01-20 09:36:24.297,-116.45391,33.50584,1.18,2.6569817062170045,4.432240071642297,13898.400281215278,,,,,,,
2677,2008-01-20 16:28:41.294,-116.87069,33.47411,1.42,-0.8114653718694551,-34.2230737021915,13898.686589050929,,,,,,,
2693,2008-01-20 20:37:37.339,-116.0219,33.92312,1.12,49.15804351883659,44.27178210582871,13898.85945994213,,,,,,,
2702,2008-01-20 22:14:38.105,-116.02375,33.6869,2.61,22.890857195260605,44.22265434963484,13898.926829918984,,,,,,,
2744,2008-01-21 03:23:47.604,-116.72972,33.64896,1.14,18.593380241368088,-21.10519316550341,13899.141523194445,,,,,,,
2745,2008-01-21 03:24:19.303,-116.31463,33.00832,1.22,-52.65009151069712,17.44519999024667,13899.14189008102,,,,,,,
2795,2008-01-21 12:34:59.583,-116.56871,33.17208,1.05,-34.45445151227527,-6.2356221907554135,13899.524300729168,,,,,,,
2874,2008-01-22 06:17:44.310,-116.83401,33.72067,1.16,26.5932365518098,-30.733067323814176,13900.26231840278,,,,,,,
2885,2008-01-22 08:29:44.806,-116.83281,33.72069,1.83,26.595105245833835,-30.62207627574461,13900.353990810188,,,,,,,
2886,2008-01-22 08:30:42.457,-116.83166,33.71961,1.08,26.474675678617,-30.516099813348387,13900.35465806713,,,,,,,
2970,2008-01-22 21:54:08.886,-116.37305,33.37765,1.85,-11.590722731332333,11.94702995512885,13900.912602847224,,,,,,,
2976,2008-01-22 22:47:38.334,-116.83554,33.7216,1.0,26.69710244769876,-30.87423803676413,13900.949749236112,,,,,,,
2994,2008-01-23 04:17:07.098,-116.66125,33.61694,1.35,15.021077561942104,-14.772822027165818,13901.178554374996,,,,,,,
3061,2008-01-23 11:44:42.935,-116.37252,33.37794,1.15,-11.558415171486793,11.996202904799796,13901.489385821762,,,,,,,
3105,2008-01-23 22:45:22.275,-116.18166,33.84401,1.21,40.304439073614375,29.558293008952443,13901.948174479168,,,,,,,
3137,2008-01-24 03:00:42.407,-116.47941,33.49003,1.99,0.8981917725473576,2.0683185560443467,13902.12549082176,,,,,,,
3165,2008-01-24 06:22:20.081,-116.47921,33.48977,1.24,0.8692850913458706,2.0868717273594792,13902.265510196758,,,,,,,
3229,2008-01-24 15:07:07.092,-116.61074,33.41719,1.03,-7.1961605284394565,-10.119006432275672,13902.629943194444,,,,,,,
3249,2008-01-24 18:39:23.245,-116.72014,33.63073,1.1,16.564389144354816,-20.22270589781618,13902.777352372685,,,,,,,
3255,2008-01-24 18:52:42.330,-116.45401,33.50629,1.06,2.7070151587924545,4.422945319244975,13902.786601041666,,,,,,,
3283,2008-01-25 00:13:57.502,-116.79042,33.69225,1.1,23.015933518675563,-26.89154116158078,13903.009693310189,,,,,,,
3288,2008-01-25 01:19:00.322,-116.79042,33.69225,1.14,23.913815971365484,-26.531966303508625,13903.05486483796,,,,,,,
3327,2008-01-25 08:16:24.342,-116.35916,33.93857,1.48,50.782403670745225,13.150906289457316,13903.344726180558,,,,,,,
3399,2008-01-25 20:31:33.087,-116.83899,33.39294,1.26,-9.847142680722095,-31.312150938012024,13903.8552440625,,,,,,,
3491,2008-01-26 17:46:35.482,-116.11142,33.25246,1.22,-25.45055327019751,36.29270011792902,13904.740688449072,,,,,,,
3496,2008-01-26 19:26:16.463,-116.83682,33.38968,1.16,-10.2102893192356,-31.111860365895826,13904.809912766204,,,,,,,
3516,2008-01-27 00:56:57.923,-116.37294,33.37787,1.55,-11.566247204545434,11.95721369587016,13905.039559293982,,,,,,,
3518,2008-01-27 01:02:33.640,-116.93537,33.40761,1.77,-7.952657765381494,-40.540137944918925,13905.04344490741,,,,,,,
3543,2008-01-27 04:34:24.007,-116.37333,33.37747,1.13,-11.610769959036944,11.921055335986775,13905.190555636576,,,,,,,
3600,2008-01-27 17:41:18.041,-116.7223,33.97711,1.28,55.08048938430285,-20.34041846233654,13905.737014363423,,,,,,,
3601,2008-01-27 17:44:37.130,-116.93537,33.40761,1.43,-8.603950860980909,-40.47615354078229,13905.739318634258,,,,,,,
3649,2008-01-28 13:14:55.296,-116.71448,33.69678,1.52,23.907721048248373,-19.68358914231122,13906.55202888889,,,,,,,
3677,2008-01-28 20:54:11.826,-116.68556,33.63607,1.0,17.151961442748785,-17.020113572543668,13906.870970208332,,,,,,,
3789,2008-01-29 16:36:26.089,-116.87128,33.47392,1.23,-0.8323978175520623,-34.2778719656806,13907.691968622685,,,,,,,
3790,2008-01-29 16:38:37.073,-116.87109,33.47387,2.85,-0.8380202439470138,-34.260269006196644,13907.693484641202,,,,,,,
3860,2008-01-30 11:55:17.827,-116.24713,33.30185,1.38,-19.997739161215964,23.65989084588254,13908.496734108798,,,,,,,
3863,2008-01-30 12:22:06.905,-116.34498,33.35956,2.32,-13.59866051843726,14.556490397085287,13908.51535769676,,,,,,,
3899,2008-01-30 21:41:50.810,-116.07975,33.77201,1.01,32.332149598028906,39.00277617577764,13908.904060300923,,,,,,,
3915,2008-01-31 02:50:33.129,-116.48684,33.48506,1.01,0.3454296577263022,1.3793800034218957,13909.118438993057,,,,,,,
3926,2008-01-31 04:43:06.273,-116.898,33.83924,1.25,39.79839758384236,-36.60070800317494,13909.196600381943,,,,,,,
3930,2008-01-31 04:54:32.676,-116.6499,33.8925,1.46,45.66038497008308,-13.677901431676668,13909.204544861112,,,,,,,
3954,2008-01-31 10:44:44.616,-116.02507,33.68754,2.78,22.961459469240737,44.10019700402213,13909.44773861111,,,,,,,
3976,2008-01-31 17:04:19.058,-116.13674,33.7866,1.22,33.934473325233405,33.72939169822101,13909.711331689814,,,,,,,
3981,2008-01-31 19:36:53.149,-116.81162,33.93294,1.11,50.19014155810427,-28.591433070620848,13909.81728181713,,,,,,,
4006,2008-02-01 04:00:48.973,-116.82366,33.97405,1.15,54.76475173323039,-29.687931679964592,13910.167233483797,,,,,,,
4086,2008-02-01 17:46:31.702,-116.98713,33.99217,1.05,56.83844339425208,-44.752546662711474,13910.740644699075,,,,,,,
4100,2008-02-01 22:54:32.517,-116.49505,33.50835,1.04,2.9350805503242325,0.6178194482815922,13910.954543020833,,,,,,,
4116,2008-02-02 03:34:45.525,-116.93584,33.84408,1.68,40.09949412970187,-40.35875418490508,13911.149138020832,,,,,,,
4143,2008-02-02 07:44:02.147,-116.31864,33.26014,1.17,-24.64965848164552,17.022218860216135,13911.32224707176,,,,,,,
4180,2008-02-02 16:49:10.027,-116.37241,33.37905,1.2,-11.434976126195954,12.006263500870611,13911.700810497685,,,,,,,
4184,2008-02-02 18:02:30.277,-116.71126,33.64707,1.06,18.37961720349745,-19.39688836543336,13911.75173931713,,,,,,,
4213,2008-02-03 03:37:52.862,-116.58625,33.45957,1.48,-2.4858368031596743,-7.842196543525412,13912.15130627315,,,,,,,
4226,2008-02-03 05:04:17.132,-116.72994,33.66805,1.0,20.71613493294838,-21.12087810704426,13912.211309398148,,,,,,,
4253,2008-02-03 08:48:14.466,-116.20048,33.87491,1.0,43.73514335139127,27.81016047478624,13912.36683409722,,,,,,,
4442,2008-02-05 05:52:11.798,-116.55858,33.49508,1.13,1.1537021710885589,-5.198412368891939,13914.244580995372,,,,,,,
4476,2008-02-05 08:48:39.237,-116.37249,33.37852,1.2,-11.493918663681066,11.998908438693046,13914.367120798612,,,,,,,
4525,2008-02-05 17:47:14.528,-116.45827,33.50819,1.14,2.9181121597894064,4.027881937919863,13914.741140370372,,,,,,,
4530,2008-02-05 18:50:13.298,-116.85438,33.88824,1.25,45.23236921078475,-32.55338865654024,13914.784876134258,,,,,,,
4554,2008-02-05 22:42:12.366,-116.32985,33.34628,1.68,-15.073108124174771,15.9641117779318,13914.945976458335,,,,,,,
4557,2008-02-05 22:53:25.237,-116.37365,33.38063,1.2,-11.259430704306151,11.89090928588174,13914.95376431713,,,,,,,
4594,2008-02-06 03:33:21.555,-116.37245,33.37858,1.36,-11.487242351339845,12.002614300572937,13915.148166145837,,,,,,,
4609,2008-02-06 06:37:43.227,-116.37252,33.37861,1.79,-11.483914584128536,11.996110399099614,13915.276194756943,,,,,,,
4618,2008-02-06 07:31:33.796,-116.98423,33.99522,1.28,57.17633550020676,-44.48359576074944,13915.313585601853,,,,,,,
4624,2008-02-06 08:07:48.566,-116.62463,33.43966,1.19,-4.696172233321852,-11.405216964372316,13915.33875655093,,,,,,,
4643,2008-02-06 09:30:24.770,-116.71593,33.64182,1.4,17.79672732836081,-19.830378961592743,13915.396120023148,,,,,,,
4644,2008-02-06 09:30:41.988,-116.71631,33.64226,1.2,17.84572579348771,-19.86545479203681,13915.396319305555,,,,,,,
4665,2008-02-06 09:55:45.008,-116.27989,33.50052,1.26,2.086373227439062,20.56820866634938,13915.413715370369,,,,,,,
4728,2008-02-06 18:58:26.592,-116.45457,33.45841,1.22,-2.617021512579526,4.373440442915564,13915.790585555556,,,,,,,
4732,2008-02-06 19:29:47.910,-116.04617,33.20121,1.08,-31.12462312720217,42.38502751802277,13915.812360069443,,,,,,,
4737,2008-02-06 22:10:42.015,-116.48045,33.47044,1.06,-1.2801370608413511,1.9723205917365367,13915.924097395837,,,,,,,
4744,2008-02-07 01:13:38.742,-116.85222,33.95432,2.04,52.579441977459794,-32.329018048293804,13916.051142847224,,,,,,,
4751,2008-02-07 02:59:21.143,-116.45007,33.45558,1.43,-2.931504648446787,4.791054603945769,13916.124550266206,,,,,,,
4766,2008-02-07 04:40:24.233,-116.8376,33.3917,1.12,-9.9854421022755,-31.18355142216452,13916.194724918982,,,,,,,
4814,2008-02-07 13:07:18.279,-116.45348,33.51708,1.36,3.906831087451509,4.471527898198723,13916.546739340278,,,,,,,
4832,2008-02-07 15:56:14.664,-116.34642,33.31075,1.96,-19.02628415852423,14.43084625016296,13916.664058611112,,,,,,,
4840,2008-02-07 17:00:10.858,-116.55858,33.49508,1.42,1.2890513250433409,-4.952823044499812,13916.708459004629,,,,,,,
4859,2008-02-07 22:52:21.344,-116.51864,33.47252,1.61,-1.0489255734886018,-1.5699751781424214,13916.953024814817,,,,,,,
4916,2008-02-08 09:54:31.680,-116.47378,33.14376,1.29,-37.60514887337411,2.600739885773132,13917.412866666667,,,,,,,
4956,2008-02-08 15:40:24.322,-116.76366,33.71563,1.65,26.014161467057605,-24.22804739063683,13917.653059282406,,,,,,,
4986,2008-02-08 23:24:02.618,-116.47404,33.48556,1.12,0.4012702792682738,2.566435532349324,13917.975030300924,,,,,,,
5290,2008-02-10 10:52:04.580,-116.81128,33.93214,1.32,50.10109179729235,-28.56033259355128,13919.452830787037,,,,,,,
5327,2008-02-10 21:43:24.597,-116.45337,33.506,1.1,2.6747960743792,4.482299296391504,13919.90514579861,,,,,,,
5339,2008-02-10 23:34:54.141,-116.53941,33.4482,1.13,-3.75267958418347,-3.4974422720489726,13919.982571076387,,,,,,,
5512,2008-02-11 18:53:01.947,-116.34415,33.35942,2.0,-13.614111290566193,14.633599376497004,13920.78682809028,,,,,,,
5702,2008-02-12 07:19:40.254,-116.60409,33.41909,1.19,-6.98551799224049,-9.501595617526585,13921.305327013892,,,,,,,
5770,2008-02-12 11:13:50.193,-116.17859,33.808,1.08,36.30119533469912,29.85435253015085,13921.46794204861,,,,,,,
5790,2008-02-12 12:47:17.377,-116.45501,33.47279,1.53,-1.0180569435713251,4.331903514685689,13921.532840011572,,,,,,,
5812,2008-02-12 14:45:28.110,-116.72028,33.95127,1.05,52.20681858467464,-20.160251198573565,13921.614908680556,,,,,,,
5818,2008-02-12 15:33:39.314,-116.97258,33.9849,1.53,56.02385498733233,-43.41482898902268,13921.648371689813,,,,,,,
5834,2008-02-12 18:40:05.048,-116.88203,33.97778,1.4,54.8817320303481,-35.10427595345841,13921.777836203704,,,,,,,
5911,2008-02-13 05:31:46.055,-116.37359,33.25354,1.5,-25.391184568632703,11.913863367901978,13922.230394155093,,,,,,,
5940,2008-02-13 07:37:17.873,-116.76882,33.82201,1.91,37.84428613921878,-24.67473146101368,13922.317567974536,,,,,,,
5944,2008-02-13 08:37:14.658,-116.79954,33.94568,1.36,51.6034897652476,-27.47286092974121,13922.359197430553,,,,,,,
6000,2008-02-13 13:37:37.533,-116.80406,33.70256,1.22,24.57101749068192,-27.96897824362618,13922.567795520834,,,,,,,
6021,2008-02-13 15:20:43.626,-116.80346,33.70256,1.14,24.57085575710068,-27.913474550016097,13922.639393819443,,,,,,,
6026,2008-02-13 16:19:26.660,-116.71666,33.70539,1.06,24.86552492699853,-19.883277464128515,13922.680169675928,,,,,,,
6054,2008-02-13 22:35:00.337,-116.09824,33.73822,1.3,28.568071088749427,37.30839137725106,13922.940976122683,,,,,,,
6082,2008-02-14 03:11:31.252,-116.37046,33.41822,1.02,-7.079244747573075,12.181830904073252,13923.133000601852,,,,,,,
6093,2008-02-14 04:43:19.486,-116.37255,33.37487,1.06,-11.899786996315648,11.9938410304146,13923.196753310183,,,,,,,
6094,2008-02-14 04:56:51.646,-116.43025,33.46588,1.05,-1.785107458721736,6.628996218150857,13923.206153310186,,,,,,,
6138,2008-02-14 09:44:39.460,-116.716,33.66628,1.14,20.51656720746536,-19.83123025861881,13923.40601226852,,,,,,,
6202,2008-02-14 21:36:06.767,-116.7521,33.71626,1.04,26.081571575759096,-23.15866777881311,13923.900078321758,,,,,,,
6368,2008-02-16 04:43:54.798,-116.71151,33.64723,1.75,18.397455169602043,-19.41999381513251,13925.19716201389,,,,,,,
6389,2008-02-16 06:32:09.065,-116.7272,33.68077,1.14,22.12997880590608,-20.86422796358869,13925.2723271412,,,,,,,
6453,2008-02-16 16:35:05.200,-116.02265,33.68626,2.92,22.82016239523735,44.32475842331182,13925.691032407409,,,,,,,
6454,2008-02-16 16:35:55.796,-116.02232,33.68611,1.09,22.80362434084636,44.35536830429059,13925.69161800926,,,,,,,
6465,2008-02-16 20:17:28.215,-116.5749,33.49182,1.07,1.0994000339224004,-6.786762874892344,13925.84546545139,,,,,,,
6534,2008-02-17 08:20:20.748,-116.04489,33.09713,1.39,-42.69724392447724,42.55472872774084,13926.34746236111,,,,,,,
6611,2008-02-17 15:13:04.464,-116.57531,33.49326,1.0,1.259547588156955,-6.824669758664432,13926.634079444444,,,,,,,
6686,2008-02-18 07:06:07.815,-116.77072,33.84208,1.39,40.07642080869611,-24.844433159785726,13927.295923784724,,,,,,,
6697,2008-02-18 09:00:06.627,-116.72426,33.68951,1.01,23.101234118729515,-20.59010059600041,13927.37507670139,,,,,,,
6759,2008-02-18 15:30:38.795,-116.75051,33.70687,1.14,25.03709780402918,-23.014117549828985,13927.64628234954,,,,,,,
6779,2008-02-18 20:52:05.001,-116.07489,33.27344,1.56,-23.10435251329473,39.6799900852853,13927.869502326388,,,,,,,
6785,2008-02-18 22:46:42.129,-116.82086,33.71164,1.7,25.585325229689182,-29.51996641665018,13927.949098715277,,,,,,,
6786,2008-02-18 22:46:53.897,-116.82074,33.7115,1.06,25.569723787399,-29.508914866826267,13927.94923491898,,,,,,,
6808,2008-02-19 02:29:27.797,-116.81484,33.94838,1.41,51.90788382946695,-28.883285896626944,13928.10379394676,,,,,,,
6810,2008-02-19 02:31:52.020,-116.4552,33.4743,1.31,-0.85016051632636,4.314205257949448,13928.105463194444,,,,,,,
6811,2008-02-19 02:31:54.290,-116.47023,33.48129,1.18,-0.0734314191203886,2.9199163295992467,13928.105489467593,,,,,,,
6869,2008-02-19 07:36:57.320,-116.34684,33.35973,1.14,-13.580016253421125,14.38371664146165,13928.317330092592,,,,,,,
6872,2008-02-19 07:57:39.517,-116.70229,33.66649,1.48,20.53737989905813,-18.56238833260343,13928.331707372685,,,,,,,
7019,2008-02-19 18:55:15.274,-116.54021,33.49075,1.51,0.9786916847935454,-3.5699123758984297,13928.78837122685,,,,,,,
7222,2008-02-20 18:18:28.941,-116.93817,33.96992,1.26,54.3442388081357,-40.24923818721944,13929.762834965277,,,,,,,
7228,2008-02-20 19:23:49.082,-116.53205,33.45957,1.0,-2.4886168689045505,-2.814217360335168,13929.80820696759,,,,,,,
7291,2008-02-21 08:57:33.710,-116.103,33.3133,1.06,-18.682497371744727,37.04977637057994,13930.373306828704,,,,,,,
7297,2008-02-21 09:13:42.773,-116.59745,33.57289,1.1,10.11567254724424,-8.8695660757478,13930.384522835648,,,,,,,
7400,2008-02-22 04:08:57.378,-116.37224,33.37785,1.06,-11.568390366222149,12.022214586264562,13931.172886319442,,,,,,,
7427,2008-02-22 07:49:41.343,-116.71079,33.64504,1.01,18.153803806108463,-19.35383807882544,13931.32617295139,,,,,,,
7466,2008-02-22 10:17:20.117,-116.95609,33.9834,1.26,55.85026052662473,-41.89516385096165,13931.42870505787,,,,,,,
