index,time,longitude,latitude,magnitude,time_days,x,y,step,logli_t,logli_s,logli_ts,loglam_t,loglam_ts,intlam
19,2008-01-01 05:19:47.961,-116.66409,33.61819,1.23,13879.222082881945,15.160292317230963,-15.03528745157961,,,,,,,
38,2008-01-01 07:08:36.601,-116.09156,33.16443,1.02,13879.297645844905,-35.23210825859113,38.178204642270906,,,,,,,
47,2008-01-01 08:06:14.910,-116.45353,33.50611,1.04,13879.337672569443,2.6868343171286786,4.4677553989707945,,,,,,,
68,2008-01-01 11:26:30.618,-116.66267,33.61745,1.31,13879.476743263887,15.077803178672788,-14.903927463911131,,,,,,,
69,2008-01-01 11:26:33.902,-116.6619,33.61754,1.04,13879.47678127315,15.087700354609314,-14.832611650392094,,,,,,,
76,2008-01-01 12:13:27.947,-116.66279,33.61588,1.51,13879.509351238426,14.9032444420097,-14.915310596678388,,,,,,,
157,2008-01-02 08:51:21.037,-116.07135,33.24377,1.08,13880.368993483797,-26.402329055223525,40.023001792753576,,,,,,,
162,2008-01-02 10:17:42.872,-116.66174,33.61538,1.74,13880.428968425926,14.847496515806029,-14.81816695426705,,,,,,,
184,2008-01-02 13:10:20.364,-116.7159,33.22264,1.08,13880.548846805556,-28.814131385925187,-19.92334552769785,,,,,,,
212,2008-01-03 00:38:02.764,-116.62325,33.44059,1.48,13881.026420879629,-4.593098395740632,-11.27675125612846,,,,,,,
215,2008-01-03 01:25:22.493,-116.74938,33.66438,1.27,13881.059288113427,20.311991192319308,-22.920601794205147,,,,,,,
240,2008-01-03 05:33:04.682,-116.2164,33.26732,1.96,13881.231304189814,-23.830070882319585,26.52660454865423,,,,,,,
279,2008-01-03 09:31:52.983,-116.71366689306085,33.70487804730363,1.5,13881.397141006944,24.80784121732993,-19.60622590675412,,,,,,,
283,2008-01-03 10:13:00.073,-116.6579430936039,33.61707371625227,1.27,13881.425695289352,15.03529318475203,-14.466289187087789,,,,,,,
296,2008-01-03 11:04:38.983,-116.6579286048305,33.62050667627772,1.08,13881.46156230324,15.417018797687929,-14.46437201670872,,,,,,,
306,2008-01-03 12:09:49.137,-116.66124,33.617,1.04,13881.506818715276,15.027560934708807,-14.771589582584822,,,,,,,
313,2008-01-03 13:27:25.798,-116.66247,33.61742,1.23,13881.56071525463,15.074438614855246,-14.88541307029901,,,,,,,
331,2008-01-03 17:18:06.184,-116.80563,33.86568,1.05,13881.720904907408,42.70935202375647,-28.060558337953555,,,,,,,
345,2008-01-03 20:02:03.770,-116.38501,33.97742,1.23,13881.834765856482,55.09915135803597,10.761584690118225,,,,,,,
398,2008-01-04 08:23:52.694,-116.83877,33.38998,1.49,13882.349915439818,-10.176532914216445,-31.292496096870405,,,,,,,
412,2008-01-04 10:51:54.493,-116.68717,33.66915,1.15,13882.452714039351,20.83036657347639,-17.16227984696815,,,,,,,
424,2008-01-04 11:32:45.744,-116.75809,33.67043,1.26,13882.481085,20.986679166605967,-23.72502270721109,,,,,,,
460,2008-01-04 18:47:01.131,-116.83916,33.72118,1.32,13882.782651979169,26.65129748605221,-31.208892442603474,,,,,,,
572,2008-01-05 13:10:40.054,-116.43491,33.47206,1.02,13883.549074699076,-1.0983967946741178,6.196587599786488,,,,,,,
584,2008-01-05 15:25:11.760,-116.016,33.0155,1.6,13883.64249722222,-51.76207824488,45.28834530961738,,,,,,,
603,2008-01-05 21:18:41.783,-116.3171,33.31934,2.13,13883.887983599538,-18.066854172032883,17.15404373372124,,,,,,,
605,2008-01-05 21:20:28.970,-116.61324,33.58072,1.22,13883.889224189812,10.987602794101598,-10.33120908490801,,,,,,,
642,2008-01-06 04:42:15.789,-116.39093,33.48685,1.89,13884.19601607639,0.5496633886368605,10.274143561869073,,,,,,,
693,2008-01-06 13:40:10.367,-116.74102,33.63735,2.04,13884.569564432872,17.304577513659815,-22.15385213405861,,,,,,,
714,2008-01-06 20:28:32.213,-116.2598,33.35086,1.07,13884.853150613424,-14.55107507246259,22.470036694438463,,,,,,,
717,2008-01-06 21:15:16.425,-116.82548,33.72228,1.29,13884.885606770831,26.769575810996145,-29.94330020918941,,,,,,,
750,2008-01-07 03:37:17.267,-116.73636,33.69331,1.59,13885.150894293982,23.526056035890168,-21.708342722534184,,,,,,,
759,2008-01-07 05:07:35.516,-116.81982,33.7107,1.59,13885.21360550926,25.48031905197427,-29.423795780187955,,,,,,,
771,2008-01-07 06:42:42.950,-116.9576,33.9961,1.17,13885.279663773148,57.26285769783503,-42.02784142554913,,,,,,,
826,2008-01-07 17:22:47.606,-116.39279,33.30732,1.49,13885.724162106484,-19.41334167415957,10.122556931909648,,,,,,,
831,2008-01-07 18:11:20.402,-116.57708,33.44944,2.48,13885.757875023148,-3.6130827295979633,-6.992042187266178,,,,,,,
907,2008-01-08 07:36:22.278,-116.99805,33.95554,1.79,13886.31692451389,52.76997702283167,-45.77863773866257,,,,,,,
967,2008-01-08 20:50:35.462,-116.69107,33.68034,1.51,13886.868465995372,22.075289611360613,-17.520918561488273,,,,,,,
997,2008-01-09 03:45:01.421,-116.69089,33.68026,1.03,13887.15626644676,22.066363616098165,-17.504279371939194,,,,,,,
1007,2008-01-09 06:11:12.785,-116.56587,33.51353,1.21,13887.257786863423,3.5127014323001204,-5.947599053511136,,,,,,,
